"",BBK01.OEAE29J,BBK01.OEAE29J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:45,
2002-01,0.951,
2002-04,0.959,
2002-07,0.801,
2002-10,0.810,
2003-01,0.822,
2003-04,0.819,
2003-07,0.816,
2003-10,0.808,
2004-01,0.795,
2004-04,0.789,
2004-07,0.786,
2004-10,0.830,
2005-01,0.816,
2005-04,0.813,
2005-07,0.813,
2005-10,0.824,
2006-01,0.816,
2006-04,0.861,
2006-07,0.865,
2006-10,0.887,
2007-01,0.893,
2007-04,0.905,
2007-07,0.908,
2007-10,0.910,
2008-01,0.857,
2008-04,0.827,
2008-07,0.719,
2008-10,0.760,
2009-01,0.868,
2009-04,0.870,
2009-07,0.863,
2009-10,0.919,
2010-01,0.825,
2010-04,0.909,
2010-07,0.893,
2010-10,0.888,
2011-01,0.881,
2011-04,0.870,
2011-07,0.909,
2011-10,0.853,
2012-01,0.842,
2012-04,0.896,
2012-07,0.894,
2012-10,0.943,
2013-01,0.929,
2013-04,0.981,
2013-07,1.004,
2013-10,1.001,
2014-01,1.017,
2014-04,0.999,
2014-07,1.032,
