"",BBK01.OELB06G,BBK01.OELB06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:14,
2002-01,10.084,
2002-04,10.155,
2002-07,9.921,
2002-10,9.643,
2003-01,9.299,
2003-04,9.161,
2003-07,8.885,
2003-10,8.504,
2004-01,8.260,
2004-04,8.086,
2004-07,7.815,
2004-10,7.120,
2005-01,7.180,
2005-04,7.018,
2005-07,6.907,
2005-10,6.686,
2006-01,6.707,
2006-04,6.850,
2006-07,6.794,
2006-10,6.745,
2007-01,6.755,
2007-04,6.890,
2007-07,6.940,
2007-10,7.146,
2008-01,7.279,
2008-04,7.162,
2008-07,7.131,
2008-10,7.093,
2009-01,7.128,
2009-04,7.055,
2009-07,6.897,
2009-10,6.492,
2010-01,6.525,
2010-04,6.614,
2010-07,6.351,
2010-10,6.071,
2011-01,6.204,
2011-04,6.281,
2011-07,6.156,
2011-10,5.865,
2012-01,6.117,
2012-04,6.306,
2012-07,6.385,
2012-10,6.297,
2013-01,6.408,
2013-04,6.363,
2013-07,6.261,
2013-10,6.104,
2014-01,6.272,
2014-04,6.360,
2014-07,6.287,
