"",BBK01.OEAA19N,BBK01.OEAA19N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:08,
2002-01,46.769,
2002-04,47.132,
2002-07,45.586,
2002-10,44.989,
2003-01,44.409,
2003-04,44.126,
2003-07,43.121,
2003-10,42.515,
2004-01,41.035,
2004-04,39.852,
2004-07,38.465,
2004-10,35.906,
2005-01,40.500,
2005-04,37.206,
2005-07,35.383,
2005-10,34.354,
2006-01,33.866,
2006-04,34.029,
2006-07,35.367,
2006-10,33.666,
2007-01,35.883,
2007-04,37.938,
2007-07,37.602,
2007-10,39.840,
2008-01,41.282,
2008-04,42.244,
2008-07,45.176,
2008-10,47.430,
2009-01,45.386,
2009-04,47.293,
2009-07,50.459,
2009-10,39.742,
2010-01,40.868,
2010-04,50.330,
2010-07,44.067,
2010-10,42.677,
2011-01,45.011,
2011-04,49.332,
2011-07,65.239,
2011-10,61.105,
2012-01,54.832,
2012-04,53.874,
2012-07,54.767,
2012-10,48.971,
2013-01,53.669,
2013-04,51.171,
2013-07,31.503,
2013-10,30.572,
2014-01,32.345,
2014-04,32.972,
2014-07,31.751,
