"",BBK01.CEBDQ2,BBK01.CEBDQ2_FLAGS
"",Currency and transferable deposits (consolidated) debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:14,
1991-01,34.4,
1991-04,35.8,
1991-07,36.1,
1991-10,44.9,
1992-01,34.0,
1992-04,37.0,
1992-07,72.0,
1992-10,53.8,
1993-01,49.6,
1993-04,70.1,
1993-07,70.2,
1993-10,63.1,
1994-01,64.4,
1994-04,71.2,
1994-07,64.4,
1994-10,61.4,
1995-01,65.1,
1995-04,64.1,
1995-07,68.6,
1995-10,66.3,
1996-01,76.9,
1996-04,76.2,
1996-07,84.7,
1996-10,71.9,
1997-01,77.9,
1997-04,88.2,
1997-07,82.2,
1997-10,87.9,
1998-01,103.9,
1998-04,111.2,
1998-07,126.1,
1998-10,98.4,
1999-01,153.4,
1999-04,147.6,
1999-07,139.9,
1999-10,111.9,
2000-01,143.7,
2000-04,144.1,
2000-07,133.8,
2000-10,136.2,
2001-01,170.2,
2001-04,190.9,
2001-07,194.8,
2001-10,173.0,
2002-01,166.1,
2002-04,197.6,
2002-07,208.0,
2002-10,206.5,
2003-01,235.9,
2003-04,258.5,
2003-07,258.4,
2003-10,215.7,
2004-01,244.0,
2004-04,236.1,
2004-07,256.2,
2004-10,181.0,
2005-01,264.4,
2005-04,285.9,
2005-07,272.8,
2005-10,204.8,
2006-01,275.8,
2006-04,271.9,
2006-07,254.8,
2006-10,261.2,
2007-01,292.8,
2007-04,319.5,
2007-07,332.0,
2007-10,262.5,
2008-01,332.8,
2008-04,332.3,
2008-07,334.5,
2008-10,325.1,
2009-01,335.3,
2009-04,308.6,
2009-07,300.4,
2009-10,275.7,
2010-01,304.4,
2010-04,357.4,
2010-07,353.6,
2010-10,334.4,
2011-01,363.3,
2011-04,379.8,
2011-07,444.5,
2011-10,384.4,
2012-01,436.7,
2012-04,468.4,
2012-07,493.2,
2012-10,443.7,
2013-01,478.8,
2013-04,494.2,
2013-07,463.4,
2013-10,441.8,
2014-01,466.5,
