"",BBK01.OEXJ02M,BBK01.OEXJ02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:31,
2002-01,1.739,
2002-04,1.483,
2002-07,2.513,
2002-10,1.755,
2003-01,1.570,
2003-04,1.932,
2003-07,1.987,
2003-10,2.343,
2004-01,2.466,
2004-04,2.406,
2004-07,3.419,
2004-10,3.986,
2005-01,2.465,
2005-04,1.995,
2005-07,2.276,
2005-10,2.420,
2006-01,2.201,
2006-04,2.527,
2006-07,2.172,
2006-10,2.472,
2007-01,2.366,
2007-04,2.749,
2007-07,2.139,
2007-10,2.658,
2008-01,2.432,
2008-04,2.561,
2008-07,2.313,
2008-10,3.233,
2009-01,4.046,
2009-04,4.421,
2009-07,4.635,
2009-10,4.913,
2010-01,4.935,
2010-04,5.129,
2010-07,5.294,
2010-10,4.300,
2011-01,4.379,
2011-04,4.691,
2011-07,4.173,
2011-10,5.272,
2012-01,5.136,
2012-04,5.128,
2012-07,6.209,
2012-10,5.137,
2013-01,5.699,
2013-04,5.497,
2013-07,5.020,
2013-10,4.798,
2014-01,5.375,
2014-04,5.556,
2014-07,5.168,
