"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.P.F52._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.P.F52._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Investment fund shares/units - Liabilities - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:51,
1999-10,9304,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,20304,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,21254,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,20572,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,18778,
2004-01,19559,
2004-04,18085,
2004-07,22064,
2004-10,22946,
2005-01,23458,
2005-04,24156,
2005-07,28698,
2005-10,28962,
2006-01,33830,
2006-04,34658,
2006-07,35810,
2006-10,37218,
2007-01,38228,
2007-04,40068,
2007-07,40969,
2007-10,41688,
2008-01,40075,
2008-04,40571,
2008-07,38818,
2008-10,32976,
2009-01,103901,
2009-04,80881,
2009-07,83985,
2009-10,86853,
2010-01,93818,
2010-04,98641,
2010-07,99026,
2010-10,91552,
2011-01,112412,
2011-04,117396,
2011-07,117472,
2011-10,111247,
2012-01,113784,
2012-04,109664,
2012-07,122931,
2012-10,123929,
2013-01,120579,
2013-04,120685,
2013-07,122449,
2013-10,126983,
2014-01,129467,
2014-04,133460,
2014-07,131495,
