"",BBK01.OEAE11V,BBK01.OEAE11V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:36,
2002-01,0.698,
2002-04,0.741,
2002-07,0.732,
2002-10,0.749,
2003-01,0.662,
2003-04,0.621,
2003-07,0.636,
2003-10,0.621,
2004-01,0.593,
2004-04,0.603,
2004-07,0.601,
2004-10,0.550,
2005-01,0.513,
2005-04,0.486,
2005-07,0.441,
2005-10,0.419,
2006-01,0.400,
2006-04,0.399,
2006-07,0.408,
2006-10,0.397,
2007-01,0.377,
2007-04,0.371,
2007-07,0.369,
2007-10,0.312,
2008-01,0.292,
2008-04,0.289,
2008-07,0.293,
2008-10,0.313,
2009-01,0.356,
2009-04,0.334,
2009-07,0.298,
2009-10,0.271,
2010-01,0.274,
2010-04,0.250,
2010-07,0.178,
2010-10,0.162,
2011-01,0.138,
2011-04,0.144,
2011-07,0.141,
2011-10,0.132,
2012-01,0.118,
2012-04,0.111,
2012-07,0.128,
2012-10,0.115,
2013-01,0.119,
2013-04,0.118,
2013-07,0.123,
2013-10,0.102,
2014-01,0.124,
2014-04,0.137,
2014-07,0.107,
