"",BBK01.OEAH60V,BBK01.OEAH60V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:06,
2002-01,1.845,
2002-04,1.705,
2002-07,1.675,
2002-10,1.671,
2003-01,1.654,
2003-04,1.526,
2003-07,1.464,
2003-10,1.377,
2004-01,1.304,
2004-04,1.246,
2004-07,1.163,
2004-10,1.113,
2005-01,1.194,
2005-04,1.176,
2005-07,1.125,
2005-10,1.146,
2006-01,1.142,
2006-04,1.151,
2006-07,1.176,
2006-10,1.233,
2007-01,1.281,
2007-04,1.355,
2007-07,1.391,
2007-10,1.522,
2008-01,1.650,
2008-04,1.785,
2008-07,1.855,
2008-10,2.084,
2009-01,1.831,
2009-04,1.505,
2009-07,1.156,
2009-10,1.038,
2010-01,0.802,
2010-04,0.795,
2010-07,0.687,
2010-10,0.612,
2011-01,0.579,
2011-04,0.590,
2011-07,0.608,
2011-10,0.697,
2012-01,0.694,
2012-04,0.662,
2012-07,0.596,
2012-10,0.546,
2013-01,0.506,
2013-04,0.477,
2013-07,0.456,
2013-10,0.477,
2014-01,0.443,
2014-04,0.439,
2014-07,0.429,
