"",BBFN1.M.DE.N.1.A.IR.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IR.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Iran,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:15,
1994-07,1.913,
1994-08,1.994,
1994-09,1.722,
1994-10,1.600,
1994-11,1.608,
1994-12,1.516,
1995-01,1.450,
1995-02,1.417,
1995-03,1.365,
1995-04,1.351,
1995-05,1.328,
1995-06,1.382,
1995-07,1.332,
1995-08,1.335,
1995-09,1.315,
1995-10,1.244,
1995-11,1.251,
1995-12,1.240,
1996-01,1.169,
1996-02,1.159,
1996-03,1.125,
1996-04,1.172,
1996-05,1.206,
1996-06,1.227,
1996-07,1.200,
1996-08,1.186,
1996-09,1.115,
1996-10,1.111,
1996-11,1.102,
1996-12,1.133,
1997-01,1.154,
1997-02,1.149,
1997-03,1.123,
1997-04,1.096,
1997-05,1.077,
1997-06,1.049,
1997-07,0.966,
1997-08,0.952,
1997-09,0.916,
1997-10,0.908,
1997-11,0.866,
1997-12,0.835,
1998-01,0.809,
1998-02,0.873,
1998-03,0.790,
1998-04,0.769,
1998-05,0.767,
1998-06,0.685,
1998-07,0.685,
1998-08,0.594,
1998-09,0.554,
1998-10,0.541,
1998-11,0.550,
1998-12,0.499,
1999-01,0.481,
1999-02,0.482,
1999-03,0.525,
1999-04,0.382,
1999-05,0.397,
1999-06,0.491,
1999-07,0.477,
1999-08,0.488,
1999-09,0.451,
1999-10,0.321,
1999-11,0.419,
1999-12,0.459,
2000-01,0.458,
2000-02,0.429,
2000-03,0.437,
2000-04,0.433,
2000-05,0.461,
2000-06,0.450,
2000-07,0.459,
2000-08,0.467,
2000-09,0.480,
2000-10,0.495,
2000-11,0.533,
2000-12,0.513,
2001-01,0.502,
2001-02,0.519,
2001-03,0.550,
2001-04,0.498,
2001-05,0.508,
2001-06,0.562,
2001-07,0.408,
2001-08,0.534,
2001-09,0.546,
2001-10,0.564,
2001-11,0.573,
2001-12,0.604,
2002-01,0.589,
2002-02,0.580,
2002-03,0.522,
2002-04,0.387,
2002-05,0.518,
2002-06,0.509,
2002-07,0.542,
2002-08,0.502,
2002-09,0.528,
2002-10,0.543,
2002-11,0.570,
2002-12,0.561,
2003-01,0.597,
2003-02,0.632,
2003-03,0.608,
2003-04,0.643,
2003-05,0.663,
2003-06,0.672,
2003-07,0.698,
2003-08,0.708,
2003-09,0.741,
2003-10,0.729,
2003-11,0.756,
2003-12,0.789,
2004-01,0.755,
2004-02,0.673,
2004-03,0.742,
2004-04,0.706,
2004-05,0.730,
2004-06,0.711,
2004-07,0.787,
2004-08,0.734,
2004-09,0.745,
2004-10,0.737,
2004-11,0.834,
2004-12,0.861,
2005-01,0.764,
2005-02,0.781,
2005-03,0.802,
2005-04,0.815,
2005-05,0.842,
2005-06,0.838,
2005-07,0.931,
2005-08,0.883,
2005-09,0.983,
2005-10,0.957,
2005-11,0.912,
2005-12,0.900,
2006-01,0.953,
2006-02,0.983,
2006-03,1.064,
2006-04,0.984,
2006-05,1.021,
2006-06,0.986,
2006-07,0.961,
2006-08,1.035,
2006-09,0.976,
2006-10,1.026,
2006-11,1.008,
2006-12,1.112,
2007-01,1.041,
2007-02,1.060,
2007-03,1.066,
2007-04,1.085,
2007-05,0.994,
2007-06,0.966,
2007-07,1.069,
2007-08,1.083,
2007-09,1.127,
2007-10,1.026,
2007-11,1.006,
2007-12,1.007,
2008-01,1.021,
2008-02,1.010,
2008-03,0.937,
2008-04,1.256,
2008-05,0.917,
2008-06,0.931,
2008-07,1.001,
2008-08,1.031,
2008-09,0.955,
2008-10,0.939,
2008-11,1.018,
2008-12,1.008,
2009-01,1.004,
2009-02,0.969,
2009-03,0.992,
2009-04,0.958,
2009-05,1.004,
2009-06,0.952,
2009-07,0.911,
2009-08,0.946,
2009-09,0.888,
2009-10,0.921,
2009-11,0.878,
2009-12,0.907,
2010-01,0.892,
2010-02,0.948,
2010-03,0.864,
2010-04,0.891,
2010-05,0.847,
2010-06,0.824,
2010-07,0.883,
2010-08,0.911,
2010-09,0.943,
2010-10,0.912,
2010-11,0.897,
2010-12,1.057,
2011-01,1.039,
2011-02,0.998,
2011-03,0.950,
2011-04,0.916,
2011-05,0.970,
2011-06,0.903,
2011-07,0.940,
2011-08,0.980,
2011-09,0.993,
2011-10,1.021,
2011-11,1.050,
2011-12,0.993,
2012-01,0.927,
2012-02,0.855,
2012-03,0.864,
2012-04,0.847,
2012-05,0.925,
2012-06,0.970,
2012-07,0.939,
2012-08,0.917,
2012-09,0.886,
2012-10,0.888,
2012-11,0.955,
2012-12,0.837,
2013-01,0.807,
2013-02,0.851,
2013-03,0.809,
2013-04,0.810,
2013-05,0.822,
2013-06,0.994,
2013-07,0.990,
2013-08,1.011,
2013-09,0.886,
2013-10,0.859,
2013-11,0.953,
2013-12,0.941,
2014-01,0.756,
2014-02,0.744,
2014-03,0.643,
2014-04,0.625,
2014-05,0.643,
2014-06,0.663,
2014-07,0.666,
2014-08,0.650,
2014-09,0.675,
2014-10,0.696,
2014-11,0.709,
2014-12,0.728,
