"",BBSF2.M.1.S.00000.GEF01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net sales receipts,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:44,
2004-01,52,
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,96,
2004-05,-,Nothing exists
2004-06,42,
2004-07,10,
2004-08,-,Nothing exists
2004-09,33,
2004-10,5,
2004-11,83,
2004-12,479,
2005-01,208,
2005-02,236,
2005-03,1835,
2005-04,-64,
2005-05,48,
2005-06,191,
2005-07,413,
2005-08,1226,
2005-09,181,
2005-10,40,
2005-11,33,
2005-12,2101,
2006-01,684,
2006-02,765,
2006-03,497,
2006-04,2543,
2006-05,2902,
2006-06,5347,
2006-07,88,
2006-08,2121,
2006-09,1845,
2006-10,-133,
2006-11,-698,
2006-12,-57,
2007-01,346,
2007-02,2500,
2007-03,-507,
2007-04,-1977,
2007-05,1727,
2007-06,599,
2007-07,-5,
2007-08,359,
2007-09,-783,
2007-10,3360,
2007-11,-1501,
2007-12,-3290,
2008-01,-4068,
2008-02,-709,
2008-03,-905,
2008-04,838,
2008-05,1155,
2008-06,-2111,
2008-07,9198,
2008-08,-239,
2008-09,1176,
2008-10,-3777,
2008-11,-261,
2008-12,-77,
2009-01,2654,
2009-02,-907,
2009-03,242,
2009-04,-521,
2009-05,3195,
2009-06,97,
2009-07,1268,
2009-08,57,
2009-09,1914,
2009-10,437,
2009-11,688,
2009-12,3563,
2010-01,1822,
2010-02,-334,
2010-03,-801,
2010-04,1907,
2010-05,927,
2010-06,-247,
2010-07,2325,
2010-08,1122,
2010-09,3775,
2010-10,385,
2010-11,988,
2010-12,1070,
2011-01,46,
2011-02,-96,
2011-03,754,
2011-04,2116,
2011-05,339,
2011-06,738,
2011-07,2105,
2011-08,-146,
2011-09,592,
2011-10,2672,
2011-11,1066,
2011-12,1035,
2012-01,1354,
2012-02,6762,
2012-03,320,
2012-04,1298,
2012-05,-32,
2012-06,4465,
2012-07,1329,
2012-08,547,
2012-09,-266,
2012-10,459,
2012-11,-343,
2012-12,1459,
2013-01,2511,
2013-02,320,
2013-03,-1101,
2013-04,1175,
2013-05,-558,
2013-06,2249,
2013-07,3714,
2013-08,451,
2013-09,2527,
2013-10,1909,
2013-11,801,
2013-12,2520,
2014-01,696,
2014-02,977,
2014-03,411,
2014-04,910,
2014-05,1122,
2014-06,983,
2014-07,-1227,
2014-08,312,
2014-09,1499,
2014-10,12377,
2014-11,3420,
