"",BBFB1.M.N.DE.W1.S1.S1.T.D.SDA._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SDA._Z._Z._Z._T._X.N_FLAGS
2007-12,779.591,
2008-01,547.160,
2008-02,652.855,
2008-03,700.305,
2008-04,674.078,
2008-05,703.897,
2008-06,681.271,
2008-07,755.377,
2008-08,613.789,
2008-09,834.996,
2008-10,760.403,
2008-11,781.768,
2008-12,450.594,
2009-01,481.421,
2009-02,457.633,
2009-03,589.766,
2009-04,450.503,
2009-05,738.439,
2009-06,757.884,
2009-07,749.011,
2009-08,538.281,
2009-09,696.773,
2009-10,677.869,
2009-11,591.166,
2009-12,453.295,
2010-01,550.361,
2010-02,612.056,
2010-03,768.229,
2010-04,531.355,
2010-05,748.742,
2010-06,884.838,
2010-07,592.014,
2010-08,470.366,
2010-09,681.704,
2010-10,786.031,
2010-11,739.165,
2010-12,591.828,
2011-01,358.097,
2011-02,409.310,
2011-03,809.669,
2011-04,662.320,
2011-05,556.906,
2011-06,743.087,
2011-07,819.102,
2011-08,686.159,
2011-09,658.973,
2011-10,903.127,
2011-11,526.120,
2011-12,497.742,
2012-01,384.321,
2012-02,395.575,
2012-03,509.195,
2012-04,410.677,
2012-05,678.030,
2012-06,813.183,
2012-07,549.812,
2012-08,601.069,
2012-09,680.905,
2012-10,746.269,
2012-11,521.904,
2012-12,321.308,
2013-01,549.256,
2013-02,497.215,
2013-03,465.377,
2013-04,490.862,
2013-05,591.791,
2013-06,818.392,
2013-07,820.502,
2013-08,764.686,
2013-09,634.806,
2013-10,667.964,
2013-11,507.489,
2013-12,494.913,
2014-01,413.582,
2014-02,445.498,Provisional value
2014-03,650.105,Provisional value
2014-04,543.524,Provisional value
2014-05,612.597,Provisional value
2014-06,685.525,Provisional value
2014-07,624.471,Provisional value
2014-08,575.219,Provisional value
2014-09,688.360,
2014-10,750.705,
2014-11,587.818,
2014-12,432.151,Provisional value
