"",BBK01.CEL505,BBK01.CEL505_FLAGS
"",Equity and investment fund shares                                                     debtor: Total          creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:21,
1999-01,1.8,
1999-04,1.7,
1999-07,-0.5,
1999-10,4.3,
2000-01,3.4,
2000-04,2.3,
2000-07,1.6,
2000-10,2.5,
2001-01,-3.9,
2001-04,0.1,
2001-07,3.8,
2001-10,-0.1,
2002-01,-3.6,
2002-04,-4.3,
2002-07,5.0,
2002-10,-6.2,
2003-01,7.9,
2003-04,-2.5,
2003-07,1.8,
2003-10,-4.5,
2004-01,-8.5,
2004-04,1.4,
2004-07,1.7,
2004-10,0.8,
2005-01,-0.1,
2005-04,0.2,
2005-07,4.7,
2005-10,-4.9,
2006-01,12.5,
2006-04,35.0,
2006-07,22.2,
2006-10,5.0,
2007-01,5.3,
2007-04,20.3,
2007-07,-9.3,
2007-10,19.1,
2008-01,8.9,
2008-04,10.7,
2008-07,-4.0,
2008-10,-42.0,
2009-01,12.1,
2009-04,25.9,
2009-07,13.3,
2009-10,-7.8,
2010-01,20.1,
2010-04,-5.8,
2010-07,-6.5,
2010-10,2.7,
2011-01,10.0,
2011-04,4.3,
2011-07,-32.6,
2011-10,-10.9,
2012-01,-4.1,
2012-04,-13.8,
2012-07,27.8,
2012-10,-8.0,
2013-01,6.2,
2013-04,1.6,
2013-07,2.5,
2013-10,0.1,
2014-01,4.8,
2014-04,4.1,
2014-07,3.2,
