"",BBFN1.M.DE.N.1.L.B0.S1P.F0.S.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.F0.S.N000.Z01.BGA.X001.D_FLAGS
1979-07,1.128,
1979-08,1.260,
1979-09,1.256,
1979-10,1.394,
1979-11,1.490,
1979-12,1.436,
1980-01,1.501,
1980-02,1.566,
1980-03,1.434,
1980-04,1.423,
1980-05,1.338,
1980-06,1.281,
1980-07,1.315,
1980-08,1.375,
1980-09,1.584,
1980-10,1.583,
1980-11,1.504,
1980-12,1.730,
1981-01,1.720,
1981-02,1.797,
1981-03,1.944,
1981-04,2.001,
1981-05,2.222,
1981-06,2.160,
1981-07,2.079,
1981-08,2.170,
1981-09,2.239,
1981-10,2.287,
1981-11,2.121,
1981-12,2.150,
1982-01,2.223,
1982-02,2.345,
1982-03,2.320,
1982-04,2.289,
1982-05,2.429,
1982-06,2.561,
1982-07,2.734,
1982-08,2.642,
1982-09,2.854,
1982-10,2.649,
1982-11,2.624,
1982-12,2.245,
1983-01,2.497,
1983-02,2.388,
1983-03,2.313,
1983-04,2.101,
1983-05,2.137,
1983-06,2.213,
1983-07,2.168,
1983-08,2.227,
1983-09,2.298,
1983-10,2.416,
1983-11,2.394,
1983-12,2.672,
1984-01,2.443,
1984-02,2.487,
1984-03,2.522,
1984-04,2.537,
1984-05,2.533,
1984-06,2.757,
1984-07,2.911,
1984-08,3.017,
1984-09,3.175,
1984-10,3.476,
1984-11,3.315,
1984-12,3.016,
1985-01,3.021,
1985-02,3.064,
1985-03,3.341,
1985-04,2.857,
1985-05,2.941,
1985-06,3.085,
1985-07,3.026,
1985-08,2.971,
1985-09,3.167,
1985-10,3.423,
1985-11,3.389,
1985-12,5.032,
1986-01,3.919,
1986-02,3.937,
1986-03,4.241,
1986-04,4.438,
1986-05,4.501,
1986-06,4.137,
1986-07,4.076,
1986-08,4.053,
1986-09,3.874,
1986-10,3.827,
1986-11,3.857,
1986-12,3.496,
1987-01,3.417,
1987-02,3.440,
1987-03,3.745,
1987-04,3.799,
1987-05,3.810,
1987-06,3.739,
1987-07,4.062,
1987-08,4.183,
1987-09,4.253,
1987-10,4.362,
1987-11,4.173,
1987-12,4.152,
1988-01,4.164,
1988-02,4.325,
1988-03,4.457,
1988-04,4.575,
1988-05,4.530,
1988-06,4.669,
1988-07,4.743,
1988-08,4.879,
1988-09,4.828,
1988-10,5.224,
1988-11,5.243,
1988-12,4.982,
1989-01,4.796,
1989-02,4.762,
1989-03,5.056,
1989-04,4.923,
1989-05,5.344,
1989-06,5.229,
1989-07,5.309,
1989-08,5.537,
1989-09,5.917,
1989-10,6.056,
1989-11,6.366,
1989-12,6.844,
1990-01,6.966,
1990-02,7.405,
1990-03,8.086,
1990-04,8.080,
1990-05,7.166,
1990-06,7.403,
1990-07,7.472,
1990-08,7.530,
1990-09,7.958,
1990-10,8.255,
1990-11,8.529,
1990-12,8.465,
1991-01,8.742,
1991-02,8.898,
1991-03,9.173,
1991-04,9.384,
1991-05,9.356,
1991-06,10.024,
1991-07,10.501,
1991-08,10.796,
1991-09,11.063,
1991-10,11.533,
1991-11,11.090,
1991-12,10.785,
1992-01,10.783,
1992-02,11.408,
1992-03,11.939,
1992-04,12.774,
1992-05,13.354,
1992-06,13.067,
1992-07,13.644,
1992-08,13.868,
1992-09,13.320,
1992-10,13.059,
1992-11,13.838,
1992-12,13.764,
1993-01,13.266,
1993-02,12.928,
1993-03,13.461,
1993-04,13.551,
1993-05,13.768,
1993-06,13.483,
1993-07,13.566,
1993-08,13.984,
1993-09,13.944,
1993-10,14.177,
1993-11,14.084,
1993-12,13.424,
1994-01,12.491,
1994-02,13.478,
1994-03,14.029,
1994-04,13.934,
1994-05,14.175,
1994-06,13.720,
1994-07,13.473,
1994-08,14.293,
1994-09,14.280,
1994-10,14.266,
1994-11,14.149,
1994-12,14.598,
1995-01,17.742,
1995-02,17.477,
1995-03,18.748,
1995-04,18.135,
1995-05,18.573,
1995-06,17.512,
1995-07,17.574,
1995-08,17.451,
1995-09,18.197,
1995-10,18.161,
1995-11,18.440,
1995-12,18.824,
1996-01,18.323,
1996-02,20.146,
1996-03,20.659,
1996-04,20.179,
1996-05,23.534,
1996-06,22.512,
1996-07,20.073,
1996-08,20.644,
1996-09,22.086,
1996-10,22.926,
1996-11,23.731,
1996-12,25.371,
1997-01,23.913,
1997-02,25.183,
1997-03,27.347,
1997-04,26.903,
1997-05,26.109,
1997-06,27.072,
1997-07,28.143,
1997-08,25.990,
1997-09,26.945,
1997-10,28.227,
1997-11,27.215,
1997-12,31.910,
1998-01,28.791,
1998-02,28.718,
1998-03,30.207,
1998-04,35.251,
1998-05,37.961,
1998-06,36.627,
1998-07,35.107,
1998-08,35.598,
1998-09,34.305,
1998-10,37.076,
1998-11,36.792,
1998-12,34.230,
1999-01,34.633,
1999-02,36.045,
1999-03,38.497,
1999-04,40.171,
1999-05,41.847,
1999-06,44.379,
1999-07,43.361,
1999-08,45.033,
1999-09,45.673,
1999-10,46.869,
1999-11,50.652,
1999-12,56.172,
2000-01,54.662,
2000-02,54.846,
2000-03,57.092,
2000-04,61.359,
2000-05,68.440,
2000-06,86.501,
2000-07,81.409,
2000-08,100.646,
2000-09,119.328,
2000-10,129.155,
2000-11,123.439,
2000-12,118.585,
2001-01,121.214,
2001-02,128.048,
2001-03,121.420,
2001-04,122.502,
2001-05,112.312,
2001-06,118.265,
2001-07,120.783,
2001-08,125.853,
2001-09,127.370,
2001-10,128.561,
2001-11,121.931,
2001-12,128.867,
2002-01,121.477,
2002-02,127.974,
2002-03,128.612,
2002-04,130.369,
2002-05,122.294,
2002-06,121.731,
2002-07,116.394,
2002-08,114.995,
2002-09,120.071,
2002-10,119.731,
2002-11,116.306,
2002-12,113.906,
2003-01,120.201,
2003-02,121.637,
2003-03,121.808,
2003-04,123.267,
2003-05,128.590,
2003-06,131.174,
2003-07,133.621,
2003-08,132.902,
2003-09,130.428,
2003-10,120.175,
2003-11,123.902,
2003-12,126.799,
2004-01,127.969,
2004-02,133.631,
2004-03,127.235,
2004-04,124.030,
2004-05,126.053,
2004-06,125.987,
2004-07,128.878,
2004-08,128.209,
2004-09,124.063,
2004-10,121.598,
2004-11,122.090,
2004-12,120.608,
2005-01,115.954,
2005-02,115.055,
2005-03,116.397,
2005-04,110.932,
2005-05,112.491,
2005-06,114.209,
2005-07,112.834,
2005-08,112.931,
2005-09,113.860,
2005-10,116.436,
2005-11,116.300,
2005-12,127.229,
2006-01,127.480,
2006-02,134.052,
2006-03,132.704,
2006-04,130.945,
2006-05,140.734,
2006-06,139.287,
2006-07,136.835,
2006-08,139.105,
2006-09,154.025,
2006-10,152.820,
2006-11,156.127,
2006-12,157.092,
2007-01,158.878,
2007-02,161.647,
2007-03,163.136,
2007-04,164.468,
2007-05,165.860,
2007-06,166.234,
2007-07,166.886,
2007-08,161.305,
2007-09,165.889,
2007-10,158.310,
2007-11,153.180,
2007-12,157.391,
2008-01,146.510,
2008-02,143.116,
2008-03,155.616,
2008-04,147.464,
2008-05,147.082,
2008-06,152.604,
2008-07,147.769,
2008-08,146.571,
2008-09,148.884,
2008-10,145.743,
2008-11,148.361,
2008-12,152.356,
2009-01,145.393,
2009-02,147.578,
2009-03,146.996,
2009-04,149.665,
2009-05,149.664,
2009-06,148.859,
2009-07,145.825,
2009-08,143.899,
2009-09,146.925,
2009-10,149.774,
2009-11,147.417,
2009-12,153.202,
2010-01,150.046,
2010-02,152.115,
2010-03,151.494,
2010-04,151.494,
2010-05,155.544,
2010-06,153.644,
2010-07,153.009,
2010-08,159.503,
2010-09,166.790,
2010-10,161.819,
2010-11,168.131,
2010-12,165.239,
2011-01,168.112,
2011-02,162.471,
2011-03,163.297,
2011-04,165.773,
2011-05,168.687,
2011-06,176.391,
2011-07,178.477,
2011-08,180.436,
2011-09,186.694,
2011-10,174.667,
2011-11,181.590,
2011-12,183.855,
2012-01,186.173,
2012-02,184.808,
2012-03,186.075,
2012-04,182.844,
2012-05,182.746,
2012-06,193.084,
2012-07,193.601,
2012-08,191.161,
2012-09,194.858,
2012-10,192.950,
2012-11,199.545,
2012-12,197.788,
2013-01,196.723,
2013-02,193.865,
2013-03,198.004,
2013-04,201.851,
2013-05,205.063,
2013-06,204.733,
2013-07,205.220,
2013-08,205.675,
2013-09,201.994,
2013-10,194.907,
2013-11,196.589,
2013-12,198.289,
2014-01,196.207,
2014-02,201.331,
2014-03,200.032,
2014-04,198.296,
2014-05,200.209,
2014-06,206.979,
2014-07,199.693,
2014-08,204.034,
2014-09,192.776,
2014-10,190.273,
2014-11,195.023,
2014-12,177.683,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
