"",BBK01.OECJ03M,BBK01.OECJ03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:25,
2002-01,0.918,
2002-04,0.900,
2002-07,0.904,
2002-10,0.982,
2003-01,0.913,
2003-04,0.824,
2003-07,0.663,
2003-10,0.792,
2004-01,0.716,
2004-04,0.654,
2004-07,0.699,
2004-10,0.868,
2005-01,0.948,
2005-04,1.014,
2005-07,0.950,
2005-10,1.123,
2006-01,1.106,
2006-04,1.220,
2006-07,1.267,
2006-10,1.237,
2007-01,1.254,
2007-04,1.261,
2007-07,1.452,
2007-10,1.854,
2008-01,1.800,
2008-04,1.879,
2008-07,1.973,
2008-10,2.161,
2009-01,1.956,
2009-04,1.896,
2009-07,1.795,
2009-10,1.435,
2010-01,1.477,
2010-04,1.488,
2010-07,1.542,
2010-10,1.515,
2011-01,1.668,
2011-04,1.753,
2011-07,1.787,
2011-10,2.040,
2012-01,2.348,
2012-04,2.353,
2012-07,2.250,
2012-10,2.193,
2013-01,2.156,
2013-04,2.079,
2013-07,2.159,
2013-10,1.827,
2014-01,1.931,
2014-04,1.855,
2014-07,1.818,
