"",BBFN1.M.DE.N.1.A.PT.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PT.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Portugal,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:22,
1994-07,0.871,
1994-08,0.900,
1994-09,0.958,
1994-10,0.956,
1994-11,0.993,
1994-12,0.910,
1995-01,0.932,
1995-02,0.930,
1995-03,0.933,
1995-04,0.901,
1995-05,0.894,
1995-06,0.901,
1995-07,0.855,
1995-08,0.816,
1995-09,0.870,
1995-10,0.869,
1995-11,0.939,
1995-12,0.884,
1996-01,0.840,
1996-02,0.848,
1996-03,0.900,
1996-04,0.907,
1996-05,0.941,
1996-06,0.949,
1996-07,0.946,
1996-08,0.845,
1996-09,0.938,
1996-10,0.936,
1996-11,0.991,
1996-12,0.956,
1997-01,0.990,
1997-02,1.002,
1997-03,1.004,
1997-04,1.054,
1997-05,1.040,
1997-06,1.070,
1997-07,1.031,
1997-08,0.930,
1997-09,1.057,
1997-10,1.163,
1997-11,1.046,
1997-12,0.984,
1998-01,1.016,
1998-02,1.105,
1998-03,1.199,
1998-04,1.123,
1998-05,1.170,
1998-06,1.155,
1998-07,1.175,
1998-08,1.110,
1998-09,1.211,
1998-10,1.256,
1998-11,1.251,
1998-12,1.027,
1999-01,1.047,
1999-02,1.026,
1999-03,1.096,
1999-04,1.075,
1999-05,1.178,
1999-06,1.089,
1999-07,1.113,
1999-08,1.035,
1999-09,1.032,
1999-10,1.135,
1999-11,1.128,
1999-12,1.086,
2000-01,1.122,
2000-02,1.148,
2000-03,1.147,
2000-04,1.127,
2000-05,1.181,
2000-06,1.255,
2000-07,1.257,
2000-08,1.250,
2000-09,1.268,
2000-10,1.256,
2000-11,1.291,
2000-12,1.257,
2001-01,1.239,
2001-02,1.179,
2001-03,1.281,
2001-04,1.271,
2001-05,1.274,
2001-06,1.219,
2001-07,1.211,
2001-08,1.176,
2001-09,1.234,
2001-10,1.218,
2001-11,1.275,
2001-12,1.230,
2002-01,1.128,
2002-02,1.160,
2002-03,1.082,
2002-04,1.141,
2002-05,1.090,
2002-06,1.076,
2002-07,1.090,
2002-08,1.077,
2002-09,1.087,
2002-10,1.046,
2002-11,1.126,
2002-12,1.078,
2003-01,1.039,
2003-02,1.055,
2003-03,1.067,
2003-04,1.067,
2003-05,1.050,
2003-06,1.048,
2003-07,1.041,
2003-08,0.961,
2003-09,1.037,
2003-10,1.034,
2003-11,1.002,
2003-12,1.022,
2004-01,1.007,
2004-02,0.988,
2004-03,1.104,
2004-04,1.055,
2004-05,1.108,
2004-06,1.147,
2004-07,1.135,
2004-08,1.107,
2004-09,1.110,
2004-10,1.096,
2004-11,1.138,
2004-12,1.033,
2005-01,1.051,
2005-02,1.040,
2005-03,1.098,
2005-04,1.062,
2005-05,1.084,
2005-06,1.102,
2005-07,1.049,
2005-08,1.036,
2005-09,1.137,
2005-10,1.118,
2005-11,1.180,
2005-12,1.111,
2006-01,1.119,
2006-02,1.071,
2006-03,1.148,
2006-04,1.090,
2006-05,1.115,
2006-06,1.147,
2006-07,1.144,
2006-08,1.107,
2006-09,1.169,
2006-10,1.191,
2006-11,1.233,
2006-12,1.239,
2007-01,1.038,
2007-02,1.037,
2007-03,1.089,
2007-04,1.091,
2007-05,1.132,
2007-06,1.208,
2007-07,1.044,
2007-08,1.019,
2007-09,1.001,
2007-10,0.999,
2007-11,1.058,
2007-12,1.144,
2008-01,1.108,
2008-02,1.096,
2008-03,1.118,
2008-04,1.106,
2008-05,1.126,
2008-06,1.113,
2008-07,1.364,
2008-08,1.019,
2008-09,1.039,
2008-10,1.073,
2008-11,1.109,
2008-12,1.038,
2009-01,0.879,
2009-02,0.867,
2009-03,0.900,
2009-04,0.903,
2009-05,0.859,
2009-06,0.869,
2009-07,0.803,
2009-08,0.805,
2009-09,0.867,
2009-10,0.886,
2009-11,0.938,
2009-12,0.912,
2010-01,0.876,
2010-02,0.897,
2010-03,0.941,
2010-04,0.926,
2010-05,0.967,
2010-06,0.989,
2010-07,0.914,
2010-08,0.848,
2010-09,0.937,
2010-10,0.965,
2010-11,0.982,
2010-12,0.936,
2011-01,0.955,
2011-02,0.985,
2011-03,1.028,
2011-04,1.140,
2011-05,1.106,
2011-06,1.060,
2011-07,1.010,
2011-08,0.917,
2011-09,1.002,
2011-10,0.998,
2011-11,0.994,
2011-12,0.917,
2012-01,0.973,
2012-02,0.966,
2012-03,1.020,
2012-04,0.971,
2012-05,0.954,
2012-06,1.010,
2012-07,0.979,
2012-08,0.935,
2012-09,0.944,
2012-10,0.977,
2012-11,1.002,
2012-12,0.853,
2013-01,0.873,
2013-02,0.875,
2013-03,0.933,
2013-04,0.933,
2013-05,0.938,
2013-06,0.955,
2013-07,0.893,
2013-08,0.865,
2013-09,0.894,
2013-10,0.913,
2013-11,0.943,
2013-12,0.939,
2014-01,0.942,
2014-02,0.930,
2014-03,0.981,
2014-04,0.967,
2014-05,0.937,
2014-06,0.975,
2014-07,0.924,
2014-08,0.903,
2014-09,0.961,
2014-10,0.985,
2014-11,0.941,
2014-12,0.956,
