"",BBK01.OEAC36G,BBK01.OEAC36G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:29,
2002-01,0.461,
2002-04,0.495,
2002-07,0.489,
2002-10,0.474,
2003-01,0.462,
2003-04,0.453,
2003-07,0.457,
2003-10,0.453,
2004-01,0.439,
2004-04,0.434,
2004-07,0.432,
2004-10,0.427,
2005-01,0.394,
2005-04,0.399,
2005-07,0.401,
2005-10,0.398,
2006-01,0.386,
2006-04,0.385,
2006-07,0.389,
2006-10,0.364,
2007-01,0.357,
2007-04,0.363,
2007-07,0.371,
2007-10,0.366,
2008-01,0.356,
2008-04,0.350,
2008-07,0.359,
2008-10,0.350,
2009-01,0.298,
2009-04,0.295,
2009-07,0.319,
2009-10,0.342,
2010-01,0.318,
2010-04,0.342,
2010-07,0.354,
2010-10,0.342,
2011-01,0.343,
2011-04,0.342,
2011-07,0.340,
2011-10,0.332,
2012-01,0.323,
2012-04,0.314,
2012-07,0.318,
2012-10,0.315,
2013-01,0.304,
2013-04,0.290,
2013-07,0.299,
2013-10,0.286,
2014-01,0.283,
2014-04,0.283,
2014-07,0.292,
