"",BBFN1.M.DE.N.1.L.FR.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.FR.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / France,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:15,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,4.708,
1995-01,4.581,
1995-02,4.552,
1995-03,4.717,
1995-04,4.623,
1995-05,4.757,
1995-06,4.861,
1995-07,4.782,
1995-08,4.579,
1995-09,4.799,
1995-10,4.907,
1995-11,4.972,
1995-12,4.466,
1996-01,4.388,
1996-02,4.413,
1996-03,4.449,
1996-04,4.488,
1996-05,4.455,
1996-06,4.526,
1996-07,4.552,
1996-08,4.177,
1996-09,4.575,
1996-10,4.494,
1996-11,4.638,
1996-12,4.569,
1997-01,4.428,
1997-02,4.431,
1997-03,4.623,
1997-04,4.654,
1997-05,4.496,
1997-06,4.691,
1997-07,4.723,
1997-08,4.317,
1997-09,4.818,
1997-10,4.990,
1997-11,4.765,
1997-12,4.916,
1998-01,4.666,
1998-02,4.693,
1998-03,4.943,
1998-04,4.758,
1998-05,4.674,
1998-06,5.040,
1998-07,5.295,
1998-08,4.814,
1998-09,5.276,
1998-10,5.490,
1998-11,5.471,
1998-12,5.450,
1999-01,5.199,
1999-02,5.129,
1999-03,5.573,
1999-04,5.443,
1999-05,5.107,
1999-06,5.277,
1999-07,5.378,
1999-08,5.062,
1999-09,5.288,
1999-10,5.498,
1999-11,5.515,
1999-12,5.891,
2000-01,5.708,
2000-02,6.028,
2000-03,6.324,
2000-04,6.089,
2000-05,6.077,
2000-06,6.182,
2000-07,5.953,
2000-08,5.665,
2000-09,5.947,
2000-10,5.910,
2000-11,6.167,
2000-12,6.323,
2001-01,6.126,
2001-02,6.454,
2001-03,6.524,
2001-04,6.234,
2001-05,6.108,
2001-06,6.425,
2001-07,6.224,
2001-08,6.017,
2001-09,6.324,
2001-10,6.416,
2001-11,6.440,
2001-12,6.823,
2002-01,6.476,
2002-02,6.465,
2002-03,6.572,
2002-04,6.534,
2002-05,6.353,
2002-06,6.482,
2002-07,6.584,
2002-08,6.079,
2002-09,6.098,
2002-10,6.330,
2002-11,6.301,
2002-12,6.759,
2003-01,6.031,
2003-02,6.315,
2003-03,6.819,
2003-04,6.418,
2003-05,6.235,
2003-06,6.481,
2003-07,6.433,
2003-08,5.565,
2003-09,6.113,
2003-10,6.215,
2003-11,6.115,
2003-12,6.580,
2004-01,6.077,
2004-02,5.945,
2004-03,7.602,
2004-04,7.266,
2004-05,7.196,
2004-06,7.284,
2004-07,7.189,
2004-08,5.971,
2004-09,6.572,
2004-10,6.813,
2004-11,6.805,
2004-12,6.909,
2005-01,6.194,
2005-02,6.514,
2005-03,6.862,
2005-04,6.836,
2005-05,6.696,
2005-06,7.158,
2005-07,7.211,
2005-08,6.508,
2005-09,7.254,
2005-10,7.225,
2005-11,7.473,
2005-12,7.541,
2006-01,7.036,
2006-02,7.239,
2006-03,7.779,
2006-04,7.390,
2006-05,7.593,
2006-06,7.797,
2006-07,7.576,
2006-08,7.593,
2006-09,8.274,
2006-10,8.448,
2006-11,8.154,
2006-12,8.445,
2007-01,8.285,
2007-02,8.210,
2007-03,8.845,
2007-04,8.420,
2007-05,8.462,
2007-06,8.838,
2007-07,8.957,
2007-08,8.535,
2007-09,8.845,
2007-10,8.934,
2007-11,9.009,
2007-12,9.004,
2008-01,9.077,
2008-02,9.748,
2008-03,9.970,
2008-04,9.940,
2008-05,9.740,
2008-06,10.218,
2008-07,9.961,
2008-08,9.266,
2008-09,9.675,
2008-10,9.721,
2008-11,9.841,
2008-12,9.493,
2009-01,9.030,
2009-02,8.838,
2009-03,9.140,
2009-04,8.629,
2009-05,8.298,
2009-06,8.436,
2009-07,8.426,
2009-08,7.871,
2009-09,8.063,
2009-10,7.958,
2009-11,8.098,
2009-12,8.437,
2010-01,7.786,
2010-02,8.147,
2010-03,8.208,
2010-04,8.002,
2010-05,7.997,
2010-06,8.265,
2010-07,8.263,
2010-08,7.778,
2010-09,8.475,
2010-10,8.390,
2010-11,8.135,
2010-12,8.914,
2011-01,8.528,
2011-02,8.936,
2011-03,9.350,
2011-04,9.166,
2011-05,9.178,
2011-06,9.184,
2011-07,9.475,
2011-08,8.789,
2011-09,9.243,
2011-10,9.361,
2011-11,9.423,
2011-12,9.965,
2012-01,9.349,
2012-02,9.804,
2012-03,9.851,
2012-04,9.570,
2012-05,9.400,
2012-06,9.917,
2012-07,9.845,
2012-08,9.268,
2012-09,9.585,
2012-10,10.043,
2012-11,10.116,
2012-12,10.451,
2013-01,9.790,
2013-02,10.145,
2013-03,10.390,
2013-04,10.122,
2013-05,9.344,
2013-06,9.450,
2013-07,9.450,
2013-08,9.037,
2013-09,9.384,
2013-10,9.323,
2013-11,9.349,
2013-12,9.134,
2014-01,8.522,
2014-02,8.906,
2014-03,9.228,
2014-04,9.218,
2014-05,9.088,
2014-06,9.388,
2014-07,9.344,
2014-08,8.759,
2014-09,9.356,
2014-10,9.489,
2014-11,9.663,
2014-12,9.697,
