"",BBFI1.Q.N.DE.W1.S13.S1.LE.A.FA.O.F4.L._T.N.N,BBFI1.Q.N.DE.W1.S13.S1.LE.A.FA.O.F4.L._T.N.N_FLAGS
"",IIP - Other Investment - Loans - General government - Long-term original maturity (over 1 year) - Assets - Positions,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:06:34,
1999-10,22334,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,23232,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,23256,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,22851,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,22031,
2004-01,21723,
2004-04,21705,
2004-07,21480,
2004-10,26114,
2005-01,23902,
2005-04,22668,
2005-07,17833,
2005-10,17591,
2006-01,16749,
2006-04,16160,
2006-07,9542,
2006-10,9154,
2007-01,9091,
2007-04,9007,
2007-07,8989,
2007-10,8256,
2008-01,8266,
2008-04,8159,
2008-07,8189,
2008-10,7839,
2009-01,7775,
2009-04,7726,
2009-07,17754,
2009-10,17659,
2010-01,20821,
2010-04,30904,
2010-07,30273,
2010-10,64485,
2011-01,60341,
2011-04,53305,
2011-07,54508,
2011-10,58286,
2012-01,66668,
2012-04,78952,
2012-07,78496,
2012-10,94794,
2013-01,95410,
2013-04,99657,
2013-07,102982,
2013-10,101261,
2014-01,100652,
2014-04,101863,
2014-07,101935,
