"",BBK01.OEBK02H,BBK01.OEBK02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:56,
2002-01,4.108,
2002-04,4.158,
2002-07,4.355,
2002-10,4.491,
2003-01,4.539,
2003-04,4.647,
2003-07,4.598,
2003-10,4.182,
2004-01,4.601,
2004-04,4.380,
2004-07,4.371,
2004-10,4.269,
2005-01,4.609,
2005-04,5.390,
2005-07,4.985,
2005-10,4.970,
2006-01,4.904,
2006-04,5.104,
2006-07,4.897,
2006-10,5.057,
2007-01,4.993,
2007-04,5.237,
2007-07,5.374,
2007-10,4.949,
2008-01,5.166,
2008-04,5.086,
2008-07,5.215,
2008-10,5.366,
2009-01,6.475,
2009-04,6.647,
2009-07,6.784,
2009-10,6.719,
2010-01,6.991,
2010-04,7.112,
2010-07,7.139,
2010-10,6.955,
2011-01,7.260,
2011-04,7.368,
2011-07,7.512,
2011-10,7.596,
2012-01,8.070,
2012-04,8.249,
2012-07,8.500,
2012-10,8.591,
2013-01,8.787,
2013-04,8.976,
2013-07,9.322,
2013-10,9.604,
2014-01,10.569,
2014-04,10.436,
2014-07,10.501,
