"",BBK01.OEHK06T,BBK01.OEHK06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:01,
2002-01,0.039,
2002-04,0.042,
2002-07,0.042,
2002-10,0.042,
2003-01,0.042,
2003-04,0.042,
2003-07,0.041,
2003-10,0.042,
2004-01,0.044,
2004-04,0.047,
2004-07,0.046,
2004-10,0.047,
2005-01,0.047,
2005-04,0.047,
2005-07,0.046,
2005-10,0.047,
2006-01,0.047,
2006-04,0.048,
2006-07,0.048,
2006-10,0.050,
2007-01,0.050,
2007-04,0.049,
2007-07,0.050,
2007-10,0.053,
2008-01,0.056,
2008-04,0.057,
2008-07,0.059,
2008-10,0.060,
2009-01,0.059,
2009-04,0.056,
2009-07,0.053,
2009-10,0.050,
2010-01,0.049,
2010-04,0.047,
2010-07,0.046,
2010-10,0.046,
2011-01,0.054,
2011-04,0.056,
2011-07,0.054,
2011-10,0.055,
2012-01,0.047,
2012-04,0.046,
2012-07,0.046,
2012-10,0.042,
2013-01,0.039,
2013-04,0.036,
2013-07,0.034,
2013-10,0.034,
2014-01,0.030,
2014-04,0.028,
2014-07,0.027,
