"",BBK01.OEYB14M,BBK01.OEYB14M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:21,
2002-01,0.526,
2002-04,0.530,
2002-07,0.525,
2002-10,0.495,
2003-01,0.504,
2003-04,0.529,
2003-07,0.544,
2003-10,0.518,
2004-01,0.501,
2004-04,0.505,
2004-07,0.500,
2004-10,0.457,
2005-01,0.448,
2005-04,0.455,
2005-07,0.470,
2005-10,0.432,
2006-01,0.402,
2006-04,0.401,
2006-07,0.364,
2006-10,0.358,
2007-01,0.339,
2007-04,0.340,
2007-07,0.300,
2007-10,0.282,
2008-01,0.270,
2008-04,0.265,
2008-07,0.290,
2008-10,0.298,
2009-01,0.302,
2009-04,0.314,
2009-07,0.306,
2009-10,0.285,
2010-01,0.271,
2010-04,0.192,
2010-07,0.202,
2010-10,0.198,
2011-01,0.203,
2011-04,0.199,
2011-07,0.204,
2011-10,0.185,
2012-01,0.184,
2012-04,0.159,
2012-07,0.151,
2012-10,0.142,
2013-01,0.145,
2013-04,0.185,
2013-07,0.191,
2013-10,0.186,
2014-01,0.198,
2014-04,0.197,
2014-07,0.205,
