"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.BE.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.BE.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Belgium / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:54,
2009-09,7323,
2009-10,7369,
2009-11,7421,
2009-12,7531,
2010-01,7935,
2010-02,7950,
2010-03,7978,
2010-04,8129,
2010-05,8388,
2010-06,8434,
2010-07,8704,
2010-08,9291,
2010-09,9121,
2010-10,9835,
2010-11,9459,
2010-12,8853,
2011-01,8484,
2011-02,8530,
2011-03,8376,
2011-04,8371,
2011-05,8315,
2011-06,8200,
2011-07,8005,
2011-08,8269,
2011-09,8416,
2011-10,7893,
2011-11,7396,
2011-12,8161,
2012-01,7938,
2012-02,8696,
2012-03,8980,
2012-04,9349,
2012-05,9915,
2012-06,9883,
2012-07,10408,
2012-08,10258,
2012-09,10226,
2012-10,10491,
2012-11,10731,
2012-12,11194,
2013-01,10752,
2013-02,10783,
2013-03,10591,
2013-04,10758,
2013-05,10620,
2013-06,10197,
2013-07,10484,
2013-08,10340,
2013-09,10587,
2013-10,10757,
2013-11,10737,
2013-12,10611,
2014-01,11057,
2014-02,11161,
2014-03,11181,
2014-04,10981,
2014-05,11423,
2014-06,11494,
2014-07,11653,
2014-08,11840,
2014-09,11577,
2014-10,11355,
2014-11,11507,
