"",BBFB1.Q.N.DE.IT.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:51,
1991-01,1524.902,
1991-04,-78.691,
1991-07,-521.365,
1991-10,-28.940,
1992-01,691.955,
1992-04,642.084,
1992-07,235.819,
1992-10,-332.293,
1993-01,-95.771,
1993-04,271.098,
1993-07,96.148,
1993-10,-781.187,
1994-01,82.582,
1994-04,-132.321,
1994-07,-10.219,
1994-10,-766.747,
1995-01,-136.650,
1995-04,-183.936,
1995-07,6.433,
1995-10,332.644,
1996-01,-181.365,
1996-04,-120.682,
1996-07,-323.299,
1996-10,264.381,
1997-01,-2.692,
1997-04,70.951,
1997-07,-59.118,
1997-10,57.159,
1998-01,82.074,
1998-04,-85.378,
1998-07,-354.985,
1998-10,371.057,
1999-01,132.154,
1999-04,580.162,
1999-07,135.188,
1999-10,142.263,
2000-01,532.602,
2000-04,-202.726,
2000-07,204.754,
2000-10,220.105,
2001-01,790.386,
2001-04,459.624,
2001-07,758.387,
2001-10,860.335,
2002-01,995.763,
2002-04,2008.476,
2002-07,845.573,
2002-10,2232.215,
2003-01,1133.569,
2003-04,967.960,
2003-07,-773.478,
2003-10,-584.138,
2004-01,-1160.909,
2004-04,322.513,
2004-07,518.300,
2004-10,96.525,
2005-01,1807.288,
2005-04,3103.413,
2005-07,933.166,
2005-10,415.677,
2006-01,2869.092,
2006-04,1528.762,
2006-07,679.285,
2006-10,640.544,
2007-01,618.953,
2007-04,2619.849,
2007-07,246.557,
2007-10,954.542,
2008-01,291.938,
2008-04,1201.455,
2008-07,525.464,
2008-10,826.191,
2009-01,-538.682,
2009-04,397.565,
2009-07,441.241,
2009-10,406.567,
2010-01,-1508.161,
2010-04,150.309,
2010-07,-260.968,
2010-10,-1267.746,
2011-01,-985.071,
2011-04,-431.942,
2011-07,-284.436,
2011-10,-643.688,
2012-01,-1466.706,
2012-04,-866.305,
2012-07,-1629.722,
2012-10,-869.294,
2013-01,84.765,
2013-04,-1716.355,
2013-07,-566.882,
2013-10,-138.724,
2014-01,238.473,Provisional value
2014-04,-102.621,Provisional value
2014-07,187.059,Provisional value
2014-10,417.262,Provisional value
