"",BBK01.OEAE25L,BBK01.OEAE25L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:13,
2002-01,0.278,
2002-04,0.275,
2002-07,0.286,
2002-10,0.280,
2003-01,0.275,
2003-04,0.265,
2003-07,0.276,
2003-10,0.293,
2004-01,0.291,
2004-04,0.298,
2004-07,0.300,
2004-10,0.298,
2005-01,0.289,
2005-04,0.287,
2005-07,0.284,
2005-10,0.277,
2006-01,0.279,
2006-04,0.302,
2006-07,0.264,
2006-10,0.256,
2007-01,0.466,
2007-04,0.448,
2007-07,0.423,
2007-10,0.289,
2008-01,0.276,
2008-04,0.280,
2008-07,0.449,
2008-10,0.428,
2009-01,0.453,
2009-04,0.481,
2009-07,0.480,
2009-10,0.565,
2010-01,0.432,
2010-04,0.452,
2010-07,0.515,
2010-10,0.521,
2011-01,0.496,
2011-04,0.504,
2011-07,0.473,
2011-10,0.462,
2012-01,0.576,
2012-04,0.645,
2012-07,0.618,
2012-10,0.747,
2013-01,0.753,
2013-04,0.686,
2013-07,0.666,
2013-10,0.685,
2014-01,0.687,
2014-04,0.655,
2014-07,0.633,
