"",BBFN1.M.DE.N.1.L.LU.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LU.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Luxembourg,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:23,
1994-12,18.931,
1995-01,18.757,
1995-02,18.921,
1995-03,18.870,
1995-04,18.755,
1995-05,19.491,
1995-06,19.225,
1995-07,19.112,
1995-08,19.509,
1995-09,19.960,
1995-10,19.951,
1995-11,21.052,
1995-12,20.616,
1996-01,20.241,
1996-02,20.997,
1996-03,19.382,
1996-04,19.227,
1996-05,19.038,
1996-06,17.849,
1996-07,17.463,
1996-08,18.088,
1996-09,19.154,
1996-10,18.936,
1996-11,20.688,
1996-12,20.870,
1997-01,19.086,
1997-02,19.675,
1997-03,21.253,
1997-04,20.215,
1997-05,20.161,
1997-06,21.204,
1997-07,22.088,
1997-08,22.625,
1997-09,22.084,
1997-10,22.195,
1997-11,21.838,
1997-12,21.167,
1998-01,22.195,
1998-02,22.227,
1998-03,22.633,
1998-04,23.082,
1998-05,21.795,
1998-06,20.257,
1998-07,20.498,
1998-08,19.764,
1998-09,21.024,
1998-10,21.158,
1998-11,21.720,
1998-12,20.575,
1999-01,20.441,
1999-02,20.976,
1999-03,22.012,
1999-04,21.294,
1999-05,20.398,
1999-06,22.764,
1999-07,25.650,
1999-08,27.946,
1999-09,27.552,
1999-10,29.014,
1999-11,26.337,
1999-12,33.747,
2000-01,39.669,
2000-02,38.727,
2000-03,37.893,
2000-04,31.720,
2000-05,28.912,
2000-06,27.185,
2000-07,23.677,
2000-08,23.489,
2000-09,30.196,
2000-10,29.900,
2000-11,28.920,
2000-12,71.831,
2001-01,73.371,
2001-02,71.731,
2001-03,72.213,
2001-04,74.937,
2001-05,74.974,
2001-06,78.113,
2001-07,78.209,
2001-08,79.941,
2001-09,80.458,
2001-10,80.205,
2001-11,81.848,
2001-12,82.128,
2002-01,83.072,
2002-02,83.945,
2002-03,73.631,
2002-04,73.681,
2002-05,73.987,
2002-06,78.017,
2002-07,76.211,
2002-08,76.356,
2002-09,76.944,
2002-10,76.611,
2002-11,78.301,
2002-12,77.397,
2003-01,79.583,
2003-02,79.337,
2003-03,72.689,
2003-04,72.279,
2003-05,72.551,
2003-06,72.806,
2003-07,72.744,
2003-08,75.314,
2003-09,75.378,
2003-10,74.359,
2003-11,75.232,
2003-12,69.814,
2004-01,72.049,
2004-02,46.615,
2004-03,48.250,
2004-04,47.647,
2004-05,46.832,
2004-06,49.612,
2004-07,49.496,
2004-08,49.474,
2004-09,51.158,
2004-10,48.196,
2004-11,50.183,
2004-12,47.496,
2005-01,49.504,
2005-02,50.214,
2005-03,51.887,
2005-04,51.714,
2005-05,52.273,
2005-06,52.976,
2005-07,51.853,
2005-08,53.289,
2005-09,53.206,
2005-10,53.708,
2005-11,54.301,
2005-12,55.643,
2006-01,55.479,
2006-02,57.823,
2006-03,57.680,
2006-04,59.628,
2006-05,59.493,
2006-06,60.362,
2006-07,61.046,
2006-08,64.438,
2006-09,67.604,
2006-10,67.420,
2006-11,66.076,
2006-12,62.893,
2007-01,71.486,
2007-02,70.474,
2007-03,70.162,
2007-04,68.927,
2007-05,68.884,
2007-06,68.565,
2007-07,53.893,
2007-08,53.439,
2007-09,55.628,
2007-10,51.679,
2007-11,52.135,
2007-12,57.859,
2008-01,61.027,
2008-02,61.647,
2008-03,61.545,
2008-04,64.033,
2008-05,65.060,
2008-06,65.316,
2008-07,66.080,
2008-08,66.271,
2008-09,63.617,
2008-10,78.088,
2008-11,80.135,
2008-12,78.374,
2009-01,79.858,
2009-02,82.479,
2009-03,81.120,
2009-04,81.962,
2009-05,83.942,
2009-06,87.165,
2009-07,87.660,
2009-08,87.126,
2009-09,86.895,
2009-10,86.642,
2009-11,85.250,
2009-12,88.522,
2010-01,94.679,
2010-02,94.699,
2010-03,95.240,
2010-04,96.516,
2010-05,100.350,
2010-06,99.370,
2010-07,103.479,
2010-08,101.911,
2010-09,101.222,
2010-10,100.336,
2010-11,101.757,
2010-12,98.442,
2011-01,106.684,
2011-02,105.312,
2011-03,106.565,
2011-04,106.674,
2011-05,107.766,
2011-06,106.916,
2011-07,110.293,
2011-08,111.620,
2011-09,114.338,
2011-10,110.453,
2011-11,113.314,
2011-12,107.474,
2012-01,116.112,
2012-02,113.162,
2012-03,115.136,
2012-04,116.842,
2012-05,116.553,
2012-06,115.600,
2012-07,120.397,
2012-08,122.094,
2012-09,117.675,
2012-10,124.119,
2012-11,125.890,
2012-12,120.306,
2013-01,119.458,
2013-02,122.790,
2013-03,126.527,
2013-04,127.881,
2013-05,126.458,
2013-06,126.203,
2013-07,125.175,
2013-08,132.784,
2013-09,131.981,
2013-10,140.831,
2013-11,136.486,
2013-12,131.895,
2014-01,137.687,
2014-02,138.846,
2014-03,140.308,
2014-04,140.410,
2014-05,138.653,
2014-06,137.255,
2014-07,138.950,
2014-08,138.884,
2014-09,138.118,
2014-10,139.930,
2014-11,142.270,
2014-12,147.911,
