"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.IT.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.IT.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Italy / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:47,
2009-09,715,
2009-10,721,
2009-11,752,
2009-12,748,
2010-01,800,
2010-02,720,
2010-03,725,
2010-04,724,
2010-05,662,
2010-06,634,
2010-07,650,
2010-08,656,
2010-09,802,
2010-10,869,
2010-11,839,
2010-12,804,
2011-01,826,
2011-02,1086,
2011-03,1078,
2011-04,1138,
2011-05,1195,
2011-06,1097,
2011-07,962,
2011-08,895,
2011-09,828,
2011-10,783,
2011-11,687,
2011-12,701,
2012-01,683,
2012-02,701,
2012-03,733,
2012-04,715,
2012-05,651,
2012-06,643,
2012-07,679,
2012-08,682,
2012-09,730,
2012-10,817,
2012-11,894,
2012-12,872,
2013-01,960,
2013-02,938,
2013-03,930,
2013-04,909,
2013-05,938,
2013-06,958,
2013-07,1007,
2013-08,1000,
2013-09,1009,
2013-10,1198,
2013-11,1169,
2013-12,1240,
2014-01,1396,
2014-02,1498,
2014-03,1486,
2014-04,1582,
2014-05,1604,
2014-06,1714,
2014-07,1810,
2014-08,1842,
2014-09,1862,
2014-10,1927,
2014-11,2021,
