"",BBK01.OEAD38R,BBK01.OEAD38R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:46,
2002-01,0.125,
2002-04,0.127,
2002-07,0.124,
2002-10,0.116,
2003-01,0.112,
2003-04,0.108,
2003-07,0.091,
2003-10,0.087,
2004-01,0.079,
2004-04,0.077,
2004-07,0.076,
2004-10,0.069,
2005-01,0.069,
2005-04,0.068,
2005-07,0.065,
2005-10,0.063,
2006-01,0.059,
2006-04,0.057,
2006-07,0.058,
2006-10,0.055,
2007-01,0.066,
2007-04,0.068,
2007-07,0.065,
2007-10,0.065,
2008-01,0.064,
2008-04,0.069,
2008-07,0.069,
2008-10,0.067,
2009-01,0.069,
2009-04,0.063,
2009-07,0.065,
2009-10,0.060,
2010-01,0.063,
2010-04,0.061,
2010-07,0.059,
2010-10,0.061,
2011-01,0.059,
2011-04,0.059,
2011-07,0.058,
2011-10,0.059,
2012-01,0.058,
2012-04,0.060,
2012-07,0.058,
2012-10,0.062,
2013-01,0.059,
2013-04,0.059,
2013-07,0.056,
2013-10,0.057,
2014-01,0.056,
2014-04,0.053,
2014-07,0.045,
