"",BBK01.OEHL06J,BBK01.OEHL06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:01,
2002-01,0.126,
2002-04,0.126,
2002-07,0.119,
2002-10,0.114,
2003-01,0.101,
2003-04,0.095,
2003-07,0.091,
2003-10,0.092,
2004-01,0.086,
2004-04,0.080,
2004-07,0.089,
2004-10,0.079,
2005-01,0.078,
2005-04,0.073,
2005-07,0.069,
2005-10,0.069,
2006-01,0.076,
2006-04,0.072,
2006-07,0.072,
2006-10,0.093,
2007-01,0.125,
2007-04,0.140,
2007-07,0.165,
2007-10,0.188,
2008-01,0.199,
2008-04,0.214,
2008-07,0.246,
2008-10,0.255,
2009-01,0.221,
2009-04,0.194,
2009-07,0.171,
2009-10,0.097,
2010-01,0.086,
2010-04,0.083,
2010-07,0.082,
2010-10,0.083,
2011-01,0.087,
2011-04,0.089,
2011-07,0.090,
2011-10,0.089,
2012-01,0.088,
2012-04,0.092,
2012-07,0.091,
2012-10,0.094,
2013-01,0.083,
2013-04,0.077,
2013-07,0.075,
2013-10,0.061,
2014-01,0.056,
2014-04,0.052,
2014-07,0.050,
