"",BBK01.OEAH75N,BBK01.OEAH75N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:38,
2002-01,1.714,
2002-04,1.661,
2002-07,1.570,
2002-10,1.573,
2003-01,1.714,
2003-04,1.656,
2003-07,1.773,
2003-10,1.615,
2004-01,1.603,
2004-04,1.543,
2004-07,1.227,
2004-10,1.285,
2005-01,1.425,
2005-04,1.436,
2005-07,1.448,
2005-10,1.493,
2006-01,1.508,
2006-04,1.609,
2006-07,1.625,
2006-10,1.675,
2007-01,1.860,
2007-04,2.007,
2007-07,2.040,
2007-10,1.986,
2008-01,1.851,
2008-04,2.003,
2008-07,2.436,
2008-10,2.453,
2009-01,3.181,
2009-04,3.382,
2009-07,3.517,
2009-10,3.465,
2010-01,5.897,
2010-04,7.212,
2010-07,7.123,
2010-10,7.093,
2011-01,6.917,
2011-04,6.810,
2011-07,7.280,
2011-10,7.442,
2012-01,7.616,
2012-04,7.511,
2012-07,7.537,
2012-10,7.270,
2013-01,7.795,
2013-04,7.792,
2013-07,7.000,
2013-10,7.133,
2014-01,6.861,
2014-04,6.507,
2014-07,5.733,
