"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.CA.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.CA.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Canada / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:36,
2009-09,146,
2009-10,138,
2009-11,165,
2009-12,164,
2010-01,180,
2010-02,191,
2010-03,184,
2010-04,188,
2010-05,215,
2010-06,228,
2010-07,223,
2010-08,233,
2010-09,218,
2010-10,220,
2010-11,238,
2010-12,245,
2011-01,226,
2011-02,221,
2011-03,200,
2011-04,195,
2011-05,199,
2011-06,196,
2011-07,210,
2011-08,218,
2011-09,251,
2011-10,253,
2011-11,261,
2011-12,284,
2012-01,283,
2012-02,274,
2012-03,258,
2012-04,277,
2012-05,303,
2012-06,313,
2012-07,335,
2012-08,326,
2012-09,335,
2012-10,336,
2012-11,339,
2012-12,329,
2013-01,337,
2013-02,335,
2013-03,292,
2013-04,299,
2013-05,288,
2013-06,242,
2013-07,233,
2013-08,230,
2013-09,234,
2013-10,233,
2013-11,222,
2013-12,212,
2014-01,207,
2014-02,205,
2014-03,189,
2014-04,201,
2014-05,203,
2014-06,193,
2014-07,194,
2014-08,195,
2014-09,195,
2014-10,208,
2014-11,237,
