"",BBK01.OEXI04R,BBK01.OEXI04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:51,
2002-01,0.574,
2002-04,0.543,
2002-07,0.554,
2002-10,0.523,
2003-01,0.470,
2003-04,0.478,
2003-07,0.480,
2003-10,0.468,
2004-01,0.464,
2004-04,0.384,
2004-07,0.369,
2004-10,0.316,
2005-01,0.301,
2005-04,0.251,
2005-07,0.288,
2005-10,0.288,
2006-01,0.332,
2006-04,0.365,
2006-07,0.372,
2006-10,0.383,
2007-01,0.472,
2007-04,0.583,
2007-07,0.581,
2007-10,0.638,
2008-01,0.844,
2008-04,0.851,
2008-07,0.884,
2008-10,0.700,
2009-01,0.275,
2009-04,0.188,
2009-07,0.099,
2009-10,0.062,
2010-01,0.083,
2010-04,0.082,
2010-07,0.067,
2010-10,0.074,
2011-01,0.167,
2011-04,0.171,
2011-07,0.201,
2011-10,0.789,
2012-01,0.976,
2012-04,1.037,
2012-07,1.126,
2012-10,1.199,
2013-01,1.169,
2013-04,1.256,
2013-07,1.251,
2013-10,1.061,
2014-01,1.169,
2014-04,1.136,
2014-07,0.866,
