"",BBNZ1.Q.DE.N.H.0087.A,BBNZ1.Q.DE.N.H.0087.A_FLAGS
"",Germany / National accounts / Origin of GDP / Information and communication / Chain-linked index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:25,
1991-01,36.40,
1991-04,34.29,
1991-07,35.67,
1991-10,37.81,
1992-01,37.68,
1992-04,36.71,
1992-07,40.00,
1992-10,40.11,
1993-01,40.74,
1993-04,39.77,
1993-07,43.15,
1993-10,43.46,
1994-01,40.26,
1994-04,39.30,
1994-07,43.18,
1994-10,43.85,
1995-01,42.36,
1995-04,41.87,
1995-07,45.65,
1995-10,46.56,
1996-01,44.40,
1996-04,44.02,
1996-07,48.61,
1996-10,49.80,
1997-01,48.93,
1997-04,48.95,
1997-07,52.88,
1997-10,52.81,
1998-01,56.43,
1998-04,55.57,
1998-07,60.38,
1998-10,61.22,
1999-01,60.06,
1999-04,59.57,
1999-07,65.34,
1999-10,66.69,
2000-01,64.59,
2000-04,64.76,
2000-07,71.02,
2000-10,71.15,
2001-01,73.72,
2001-04,72.25,
2001-07,76.93,
2001-10,78.03,
2002-01,78.16,
2002-04,76.27,
2002-07,80.48,
2002-10,80.24,
2003-01,71.73,
2003-04,69.23,
2003-07,73.96,
2003-10,72.96,
2004-01,77.34,
2004-04,75.50,
2004-07,79.48,
2004-10,78.60,
2005-01,75.07,
2005-04,75.22,
2005-07,78.92,
2005-10,77.05,
2006-01,83.16,
2006-04,80.74,
2006-07,86.21,
2006-10,85.47,
2007-01,96.44,
2007-04,90.47,
2007-07,97.39,
2007-10,95.72,
2008-01,102.13,
2008-04,97.88,
2008-07,102.91,
2008-10,100.70,
2009-01,99.69,
2009-04,96.42,
2009-07,102.01,
2009-10,100.85,
2010-01,101.76,
2010-04,96.33,
2010-07,102.14,
2010-10,99.77,
2011-01,113.24,
2011-04,107.38,
2011-07,113.38,
2011-10,109.92,
2012-01,119.99,
2012-04,112.48,
2012-07,119.79,
2012-10,115.02,
2013-01,121.32,
2013-04,113.87,
2013-07,121.06,
2013-10,116.43,
2014-01,124.07,
2014-04,116.33,
2014-07,124.15,
2014-10,118.36,
