"",BBK01.OEAE12K,BBK01.OEAE12K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:53,
2002-01,0.826,
2002-04,0.907,
2002-07,0.878,
2002-10,0.930,
2003-01,0.905,
2003-04,0.984,
2003-07,1.017,
2003-10,0.900,
2004-01,1.820,
2004-04,2.205,
2004-07,0.923,
2004-10,0.943,
2005-01,0.706,
2005-04,0.647,
2005-07,0.589,
2005-10,2.112,
2006-01,0.501,
2006-04,0.680,
2006-07,0.795,
2006-10,1.446,
2007-01,0.879,
2007-04,0.656,
2007-07,1.028,
2007-10,0.577,
2008-01,0.800,
2008-04,0.933,
2008-07,1.049,
2008-10,0.804,
2009-01,0.725,
2009-04,0.693,
2009-07,0.644,
2009-10,0.572,
2010-01,0.569,
2010-04,0.542,
2010-07,0.899,
2010-10,0.810,
2011-01,0.769,
2011-04,0.733,
2011-07,0.748,
2011-10,0.882,
2012-01,0.618,
2012-04,0.877,
2012-07,0.647,
2012-10,0.723,
2013-01,0.686,
2013-04,0.556,
2013-07,0.642,
2013-10,0.480,
2014-01,0.488,
2014-04,0.497,
2014-07,0.464,
