"",BBK01.OEAN06R,BBK01.OEAN06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:14,
2002-01,1.550,
2002-04,1.513,
2002-07,1.511,
2002-10,1.473,
2003-01,1.418,
2003-04,1.360,
2003-07,1.305,
2003-10,1.332,
2004-01,1.266,
2004-04,1.220,
2004-07,1.200,
2004-10,1.195,
2005-01,1.174,
2005-04,1.129,
2005-07,1.046,
2005-10,1.040,
2006-01,1.078,
2006-04,1.122,
2006-07,1.168,
2006-10,1.257,
2007-01,1.439,
2007-04,1.463,
2007-07,1.540,
2007-10,1.598,
2008-01,1.634,
2008-04,1.670,
2008-07,1.691,
2008-10,1.870,
2009-01,1.785,
2009-04,1.729,
2009-07,1.632,
2009-10,1.631,
2010-01,1.551,
2010-04,1.467,
2010-07,1.368,
2010-10,1.400,
2011-01,1.350,
2011-04,1.380,
2011-07,1.392,
2011-10,1.390,
2012-01,1.352,
2012-04,1.387,
2012-07,1.335,
2012-10,1.229,
2013-01,1.153,
2013-04,1.072,
2013-07,0.948,
2013-10,0.877,
2014-01,0.826,
2014-04,0.790,
2014-07,0.796,
