"",BBK01.OECB09P,BBK01.OECB09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:14,
2002-01,1.034,
2002-04,1.032,
2002-07,1.044,
2002-10,0.512,
2003-01,0.646,
2003-04,0.507,
2003-07,0.649,
2003-10,0.632,
2004-01,0.589,
2004-04,0.552,
2004-07,0.598,
2004-10,0.548,
2005-01,0.539,
2005-04,0.561,
2005-07,0.558,
2005-10,0.498,
2006-01,0.501,
2006-04,0.540,
2006-07,0.546,
2006-10,0.527,
2007-01,0.515,
2007-04,0.496,
2007-07,0.479,
2007-10,0.463,
2008-01,0.462,
2008-04,0.517,
2008-07,0.464,
2008-10,0.444,
2009-01,0.434,
2009-04,0.413,
2009-07,0.413,
2009-10,0.376,
2010-01,0.391,
2010-04,0.354,
2010-07,0.366,
2010-10,0.351,
2011-01,0.398,
2011-04,0.399,
2011-07,0.451,
2011-10,0.397,
2012-01,0.443,
2012-04,0.379,
2012-07,0.425,
2012-10,0.347,
2013-01,0.398,
2013-04,0.390,
2013-07,0.410,
2013-10,0.432,
2014-01,0.439,
2014-04,0.425,
2014-07,0.421,
