"",BBK01.OEAA53K,BBK01.OEAA53K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:14,
2002-01,14.840,
2002-04,14.126,
2002-07,14.667,
2002-10,14.475,
2003-01,14.255,
2003-04,13.527,
2003-07,13.262,
2003-10,12.228,
2004-01,12.309,
2004-04,15.969,
2004-07,15.642,
2004-10,14.880,
2005-01,13.974,
2005-04,15.178,
2005-07,16.212,
2005-10,17.917,
2006-01,19.207,
2006-04,19.339,
2006-07,21.438,
2006-10,21.843,
2007-01,21.960,
2007-04,23.722,
2007-07,25.130,
2007-10,25.662,
2008-01,26.202,
2008-04,27.891,
2008-07,32.331,
2008-10,34.635,
2009-01,35.783,
2009-04,35.349,
2009-07,34.850,
2009-10,29.012,
2010-01,28.785,
2010-04,30.696,
2010-07,31.387,
2010-10,32.288,
2011-01,30.595,
2011-04,29.710,
2011-07,34.527,
2011-10,32.942,
2012-01,31.795,
2012-04,33.770,
2012-07,33.762,
2012-10,33.526,
2013-01,33.395,
2013-04,32.641,
2013-07,31.193,
2013-10,26.630,
2014-01,26.774,
2014-04,26.685,
2014-07,27.476,
