"",BBK01.OEAL06J,BBK01.OEAL06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:28,
2002-01,0.382,
2002-04,0.376,
2002-07,0.361,
2002-10,0.337,
2003-01,0.314,
2003-04,0.307,
2003-07,0.302,
2003-10,0.293,
2004-01,0.302,
2004-04,0.297,
2004-07,0.320,
2004-10,0.305,
2005-01,0.303,
2005-04,0.283,
2005-07,0.276,
2005-10,0.270,
2006-01,0.281,
2006-04,0.279,
2006-07,0.298,
2006-10,0.346,
2007-01,0.398,
2007-04,0.429,
2007-07,0.475,
2007-10,0.516,
2008-01,0.563,
2008-04,0.606,
2008-07,0.660,
2008-10,0.675,
2009-01,0.629,
2009-04,0.551,
2009-07,0.479,
2009-10,0.392,
2010-01,0.374,
2010-04,0.393,
2010-07,0.385,
2010-10,0.425,
2011-01,0.452,
2011-04,0.477,
2011-07,0.490,
2011-10,0.493,
2012-01,0.470,
2012-04,0.460,
2012-07,0.454,
2012-10,0.458,
2013-01,0.386,
2013-04,0.333,
2013-07,0.322,
2013-10,0.301,
2014-01,0.278,
2014-04,0.280,
2014-07,0.253,
