"",BBFB1.Q.N.DE.IE.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:36,
1991-01,20.713,
1991-04,28.342,
1991-07,31.677,
1991-10,27.935,
1992-01,26.831,
1992-04,31.973,
1992-07,33.091,
1992-10,39.976,
1993-01,53.849,
1993-04,34.126,
1993-07,34.501,
1993-10,45.401,
1994-01,44.712,
1994-04,44.941,
1994-07,50.312,
1994-10,54.167,
1995-01,71.318,
1995-04,70.968,
1995-07,101.623,
1995-10,125.999,
1996-01,80.367,
1996-04,77.141,
1996-07,117.872,
1996-10,254.249,
1997-01,145.273,
1997-04,154.056,
1997-07,226.209,
1997-10,201.673,
1998-01,226.982,
1998-04,234.433,
1998-07,256.607,
1998-10,255.366,
1999-01,330.600,
1999-04,355.769,
1999-07,347.786,
1999-10,320.781,
2000-01,434.332,
2000-04,505.992,
2000-07,321.199,
2000-10,448.660,
2001-01,404.841,
2001-04,525.929,
2001-07,453.645,
2001-10,521.935,
2002-01,622.882,
2002-04,610.171,
2002-07,649.809,
2002-10,671.016,
2003-01,701.249,
2003-04,701.995,
2003-07,685.115,
2003-10,663.991,
2004-01,834.418,
2004-04,789.224,
2004-07,719.120,
2004-10,844.052,
2005-01,759.150,
2005-04,851.836,
2005-07,853.443,
2005-10,854.338,
2006-01,817.311,
2006-04,870.827,
2006-07,834.405,
2006-10,936.356,
2007-01,938.739,
2007-04,899.821,
2007-07,895.010,
2007-10,1175.778,
2008-01,972.259,
2008-04,1128.951,
2008-07,1049.183,
2008-10,1148.629,
2009-01,945.123,
2009-04,1020.383,
2009-07,1073.721,
2009-10,1202.311,
2010-01,1088.640,
2010-04,951.225,
2010-07,990.464,
2010-10,1054.762,
2011-01,1087.378,
2011-04,924.022,
2011-07,889.476,
2011-10,925.131,
2012-01,743.107,
2012-04,821.274,
2012-07,709.451,
2012-10,942.601,
2013-01,836.507,
2013-04,765.993,
2013-07,857.935,
2013-10,938.221,
2014-01,913.284,Provisional value
2014-04,968.785,Provisional value
2014-07,967.668,Provisional value
