"",BBK01.OEAE09U,BBK01.OEAE09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:20,
2002-01,0.549,
2002-04,0.573,
2002-07,0.577,
2002-10,0.586,
2003-01,0.571,
2003-04,0.575,
2003-07,0.583,
2003-10,0.588,
2004-01,0.565,
2004-04,0.451,
2004-07,0.450,
2004-10,0.477,
2005-01,0.474,
2005-04,0.472,
2005-07,0.498,
2005-10,0.508,
2006-01,0.492,
2006-04,0.504,
2006-07,0.502,
2006-10,0.512,
2007-01,0.531,
2007-04,0.521,
2007-07,0.500,
2007-10,0.586,
2008-01,0.561,
2008-04,0.565,
2008-07,0.580,
2008-10,0.491,
2009-01,0.448,
2009-04,0.468,
2009-07,0.494,
2009-10,0.464,
2010-01,0.506,
2010-04,0.491,
2010-07,0.484,
2010-10,0.500,
2011-01,0.468,
2011-04,0.476,
2011-07,0.461,
2011-10,0.457,
2012-01,0.456,
2012-04,0.456,
2012-07,0.473,
2012-10,0.497,
2013-01,0.473,
2013-04,0.443,
2013-07,0.454,
2013-10,0.459,
2014-01,0.483,
2014-04,0.454,
2014-07,0.455,
