"",BBEX3.M.MZN.USD.CA.AC.A01,BBEX3.M.MZN.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Mozambique / USD 1 = MZN ... (middle),
unit,MZN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:38,
2006-07,25.090,
2006-08,25.140,
2006-09,25.130,
2006-10,25.150,
2006-11,25.210,
2006-12,25.740,
2007-01,25.750,
2007-02,25.720,
2007-03,25.750,
2007-04,25.810,
2007-05,25.870,
2007-06,25.710,
2007-07,25.600,
2007-08,25.730,
2007-09,25.720,
2007-10,25.740,
2007-11,24.320,
2007-12,23.650,
2008-01,24.000,
2008-02,24.100,
2008-03,24.175,
2008-04,24.175,
2008-05,24.115,
2008-06,24.010,
2008-07,23.970,
2008-08,24.070,
2008-09,24.100,
2008-10,24.180,
2008-11,24.420,
2008-12,25.090,
2009-01,25.440,
2009-02,26.220,
2009-03,26.665,
2009-04,26.560,
2009-05,26.570,
2009-06,26.650,
2009-07,26.690,
2009-08,26.830,
2009-09,27.510,
2009-10,27.560,
2009-11,27.370,
2009-12,27.510,
2010-01,27.530,
2010-02,27.620,
2010-03,27.810,
2010-04,34.155,
2010-05,33.710,
2010-06,34.510,
2010-07,35.730,
2010-08,36.760,
2010-09,35.910,
2010-10,35.860,
2010-11,35.370,
2010-12,32.830,
2011-01,32.130,
2011-02,31.110,
2011-03,30.800,
2011-04,30.660,
2011-05,29.730,
2011-06,28.640,
2011-07,27.855,
2011-08,27.150,
2011-09,27.110,
2011-10,27.030,
2011-11,26.870,
2011-12,27.140,
2012-01,27.110,
2012-02,27.310,
2012-03,27.740,
2012-04,27.530,
2012-05,27.830,
2012-06,27.900,
2012-07,28.220,
2012-08,28.690,
2012-09,28.760,
2012-10,29.340,
2012-11,29.790,
2012-12,29.510,
2013-01,29.980,
2013-02,29.990,
2013-03,30.080,
2013-04,30.020,
2013-05,29.910,
2013-06,29.850,
2013-07,29.850,
2013-08,29.850,
2013-09,29.860,
2013-10,29.870,
2013-11,29.930,
2013-12,29.940,
2014-01,30.400,
2014-02,30.640,
2014-03,30.430,
2014-04,30.650,
2014-05,30.630,
2014-06,30.650,
2014-07,30.520,
2014-08,30.510,
2014-09,30.800,
2014-10,30.900,
2014-11,31.220,
2014-12,31.595,
2015-01,32.380,
"",General: Currency conversion with effect from 1 July 2006 at the rate of MZM 1000 (metical (old)) = MZN 1 (metical (new)). The currency conversion did not entail any appreciation or depreciation against other currencies.,
"","Source: Calculated on the basis of the buying and selling rates of the Banco de Moçambique, Maputo..",
