"",BBK01.OEAA21K,BBK01.OEAA21K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:01,
2002-01,35.681,
2002-04,36.093,
2002-07,36.664,
2002-10,37.378,
2003-01,37.530,
2003-04,37.983,
2003-07,39.444,
2003-10,39.427,
2004-01,41.399,
2004-04,47.950,
2004-07,48.797,
2004-10,47.499,
2005-01,47.007,
2005-04,47.507,
2005-07,48.529,
2005-10,49.253,
2006-01,49.808,
2006-04,49.993,
2006-07,49.839,
2006-10,48.799,
2007-01,46.088,
2007-04,46.888,
2007-07,46.888,
2007-10,46.334,
2008-01,50.289,
2008-04,52.351,
2008-07,55.476,
2008-10,57.147,
2009-01,57.770,
2009-04,59.289,
2009-07,58.217,
2009-10,54.393,
2010-01,54.997,
2010-04,57.329,
2010-07,58.810,
2010-10,60.173,
2011-01,58.359,
2011-04,58.282,
2011-07,64.225,
2011-10,65.243,
2012-01,63.941,
2012-04,64.634,
2012-07,65.031,
2012-10,60.982,
2013-01,60.898,
2013-04,61.372,
2013-07,61.332,
2013-10,56.526,
2014-01,56.327,
2014-04,57.412,
2014-07,58.222,
