"",BBK01.OEAC02J,BBK01.OEAC02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:36,
2002-01,1.223,
2002-04,1.189,
2002-07,1.298,
2002-10,1.182,
2003-01,1.245,
2003-04,1.234,
2003-07,1.216,
2003-10,1.145,
2004-01,1.094,
2004-04,1.117,
2004-07,1.050,
2004-10,1.011,
2005-01,0.990,
2005-04,1.003,
2005-07,1.000,
2005-10,1.062,
2006-01,1.078,
2006-04,1.106,
2006-07,1.146,
2006-10,1.132,
2007-01,1.244,
2007-04,1.309,
2007-07,1.467,
2007-10,1.381,
2008-01,1.467,
2008-04,1.542,
2008-07,1.612,
2008-10,1.638,
2009-01,1.543,
2009-04,1.526,
2009-07,1.484,
2009-10,1.440,
2010-01,0.904,
2010-04,1.451,
2010-07,1.449,
2010-10,1.508,
2011-01,1.597,
2011-04,1.562,
2011-07,1.620,
2011-10,1.555,
2012-01,1.573,
2012-04,1.616,
2012-07,1.642,
2012-10,1.636,
2013-01,1.634,
2013-04,1.575,
2013-07,1.569,
2013-10,1.650,
2014-01,1.603,
2014-04,1.615,
2014-07,1.585,
