"",BBK01.OEXB14K,BBK01.OEXB14K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:31,
2002-01,0.656,
2002-04,0.639,
2002-07,0.631,
2002-10,0.865,
2003-01,0.639,
2003-04,0.637,
2003-07,0.605,
2003-10,1.047,
2004-01,0.590,
2004-04,0.607,
2004-07,0.662,
2004-10,0.218,
2005-01,0.207,
2005-04,0.204,
2005-07,0.208,
2005-10,0.214,
2006-01,0.256,
2006-04,0.288,
2006-07,0.300,
2006-10,0.309,
2007-01,0.257,
2007-04,0.265,
2007-07,0.233,
2007-10,0.278,
2008-01,0.259,
2008-04,0.233,
2008-07,0.248,
2008-10,0.254,
2009-01,0.290,
2009-04,0.289,
2009-07,0.290,
2009-10,0.291,
2010-01,0.282,
2010-04,0.483,
2010-07,0.486,
2010-10,0.641,
2011-01,0.627,
2011-04,0.558,
2011-07,0.542,
2011-10,0.525,
2012-01,0.553,
2012-04,0.593,
2012-07,0.549,
2012-10,0.589,
2013-01,0.622,
2013-04,0.631,
2013-07,0.709,
2013-10,0.720,
2014-01,0.746,
2014-04,0.778,
2014-07,0.760,
