"",BBSF2.M.1.T.00000.DAK01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAK01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Equity funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:09,
2009-09,-40,
2009-10,-7,
2009-11,37,
2009-12,53,
2010-01,-2,
2010-02,-5,
2010-03,-6,
2010-04,-2,
2010-05,-2,
2010-06,-342,
2010-07,-11,
2010-08,139,
2010-09,-3,
2010-10,3,
2010-11,-8,
2010-12,2,
2011-01,-3,
2011-02,-15,
2011-03,-3,
2011-04,0,
2011-05,-5,
2011-06,-3,
2011-07,-7,
2011-08,-21,
2011-09,1,
2011-10,1,
2011-11,2,
2011-12,-3,
2012-01,-5,
2012-02,-7,
2012-03,2,
2012-04,19,
2012-05,7,
2012-06,7,
2012-07,28,
2012-08,8,
2012-09,25,
2012-10,3,
2012-11,6,
2012-12,10,
2013-01,-7,
2013-02,-4,
2013-03,-5,
2013-04,-1,
2013-05,-1,
2013-06,3,
2013-07,10,
2013-08,9,
2013-09,2,
2013-10,19,
2013-11,3,
2013-12,11,
2014-01,-11,
2014-02,-1,
2014-03,8,
2014-04,1,
2014-05,0,
2014-06,2,
2014-07,0,
2014-08,0,
2014-09,4,
2014-10,5,
2014-11,5,
