"",BBK01.CELF1NF,BBK01.CELF1NF_FLAGS
"",long-term loans                                              debtor: Non-financial corporations  creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:50,
1999-01,1.2,
1999-04,3.2,
1999-07,8.6,
1999-10,5.8,
2000-01,-11.4,
2000-04,1.8,
2000-07,17.7,
2000-10,-7.0,
2001-01,1.4,
2001-04,2.7,
2001-07,10.6,
2001-10,1.0,
2002-01,2.5,
2002-04,7.7,
2002-07,3.5,
2002-10,-3.6,
2003-01,3.0,
2003-04,6.2,
2003-07,-0.6,
2003-10,-2.8,
2004-01,-0.8,
2004-04,2.2,
2004-07,-3.9,
2004-10,1.4,
2005-01,4.4,
2005-04,-0.3,
2005-07,-0.6,
2005-10,1.6,
2006-01,5.4,
2006-04,1.2,
2006-07,-3.4,
2006-10,-1.0,
2007-01,1.1,
2007-04,0.9,
2007-07,-2.1,
2007-10,0.8,
2008-01,3.0,
2008-04,7.1,
2008-07,5.2,
2008-10,-3.1,
2009-01,12.8,
2009-04,8.8,
2009-07,1.2,
2009-10,3.4,
2010-01,-3.0,
2010-04,-4.4,
2010-07,4.3,
2010-10,2.1,
2011-01,2.2,
2011-04,4.3,
2011-07,-0.5,
2011-10,-3.3,
2012-01,0.4,
2012-04,3.6,
2012-07,3.4,
2012-10,1.9,
2013-01,8.1,
2013-04,11.5,
2013-07,0.5,
2013-10,17.8,
2014-01,0.3,
2014-04,5.1,
2014-07,0.4,
