"",BBDE1.Q.DE.Y.LCB1.P2XO00100.A.L.I08.A,BBDE1.Q.DE.Y.LCB1.P2XO00100.A.L.I08.A_FLAGS
"",Index of gross wages and salaries / Germany / Section O-S - Non-market service activities / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:13,
1996-01,83.0,
1996-04,82.8,
1996-07,83.0,
1996-10,84.5,
1997-01,85.1,
1997-04,84.8,
1997-07,83.9,
1997-10,85.9,
1998-01,85.9,
1998-04,86.6,
1998-07,86.7,
1998-10,86.8,
1999-01,86.9,
1999-04,88.9,
1999-07,89.3,
1999-10,89.1,
2000-01,89.1,
2000-04,89.7,
2000-07,92.0,
2000-10,91.4,
2001-01,91.9,
2001-04,91.8,
2001-07,92.6,
2001-10,94.0,
2002-01,94.0,
2002-04,94.2,
2002-07,94.1,
2002-10,95.6,
2003-01,95.5,
2003-04,95.1,
2003-07,96.8,
2003-10,96.3,
2004-01,96.5,
2004-04,96.7,
2004-07,97.1,
2004-10,96.7,
2005-01,96.6,
2005-04,96.1,
2005-07,96.1,
2005-10,96.0,
2006-01,96.0,
2006-04,96.5,
2006-07,96.5,
2006-10,97.2,
2007-01,96.4,
2007-04,97.0,
2007-07,97.9,
2007-10,98.5,
2008-01,100.4,
2008-04,99.3,
2008-07,100.0,
2008-10,100.3,
2009-01,104.3,
2009-04,104.5,
2009-07,104.4,
2009-10,103.0,
2010-01,105.0,
2010-04,104.3,
2010-07,104.4,
2010-10,103.6,
2011-01,105.5,
2011-04,106.5,
2011-07,107.1,
2011-10,106.7,
2012-01,108.1,
2012-04,109.5,
2012-07,110.5,
2012-10,111.9,
2013-01,111.8,
2013-04,113.4,
2013-07,112.7,
2013-10,113.7,
2014-01,113.7,
2014-04,114.2,
2014-07,115.2,
