"",BBFN1.M.DE.N.1.A.SA.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SA.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Saudi Arabia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:53,
1994-07,0.419,
1994-08,0.462,
1994-09,0.494,
1994-10,0.522,
1994-11,0.540,
1994-12,0.548,
1995-01,0.526,
1995-02,0.519,
1995-03,0.524,
1995-04,0.540,
1995-05,0.527,
1995-06,0.545,
1995-07,0.573,
1995-08,0.601,
1995-09,0.586,
1995-10,0.614,
1995-11,0.700,
1995-12,0.654,
1996-01,0.606,
1996-02,0.805,
1996-03,0.786,
1996-04,0.789,
1996-05,0.829,
1996-06,0.843,
1996-07,0.834,
1996-08,0.816,
1996-09,0.801,
1996-10,0.892,
1996-11,0.801,
1996-12,0.762,
1997-01,0.765,
1997-02,0.751,
1997-03,0.774,
1997-04,0.764,
1997-05,0.756,
1997-06,0.771,
1997-07,0.806,
1997-08,0.815,
1997-09,0.849,
1997-10,0.846,
1997-11,0.760,
1997-12,0.754,
1998-01,0.769,
1998-02,0.779,
1998-03,0.779,
1998-04,0.782,
1998-05,0.751,
1998-06,0.576,
1998-07,0.611,
1998-08,0.587,
1998-09,0.586,
1998-10,0.599,
1998-11,0.643,
1998-12,0.576,
1999-01,0.596,
1999-02,0.601,
1999-03,0.607,
1999-04,0.560,
1999-05,0.554,
1999-06,0.559,
1999-07,0.558,
1999-08,0.640,
1999-09,0.631,
1999-10,0.654,
1999-11,0.662,
1999-12,0.643,
2000-01,0.616,
2000-02,0.616,
2000-03,0.637,
2000-04,0.636,
2000-05,0.676,
2000-06,0.669,
2000-07,0.687,
2000-08,0.721,
2000-09,0.696,
2000-10,0.733,
2000-11,0.745,
2000-12,0.731,
2001-01,0.713,
2001-02,0.697,
2001-03,0.728,
2001-04,0.704,
2001-05,0.697,
2001-06,0.759,
2001-07,0.741,
2001-08,0.697,
2001-09,0.787,
2001-10,0.778,
2001-11,0.778,
2001-12,0.769,
2002-01,0.677,
2002-02,0.720,
2002-03,0.708,
2002-04,0.752,
2002-05,0.760,
2002-06,0.803,
2002-07,0.813,
2002-08,0.782,
2002-09,0.805,
2002-10,0.775,
2002-11,0.863,
2002-12,0.865,
2003-01,0.873,
2003-02,0.796,
2003-03,0.758,
2003-04,0.763,
2003-05,0.724,
2003-06,0.704,
2003-07,0.721,
2003-08,0.769,
2003-09,0.731,
2003-10,0.849,
2003-11,0.763,
2003-12,0.749,
2004-01,0.740,
2004-02,0.757,
2004-03,0.733,
2004-04,0.682,
2004-05,0.706,
2004-06,0.707,
2004-07,0.716,
2004-08,0.739,
2004-09,0.752,
2004-10,0.789,
2004-11,0.842,
2004-12,0.840,
2005-01,0.891,
2005-02,0.892,
2005-03,0.916,
2005-04,0.914,
2005-05,0.948,
2005-06,0.985,
2005-07,0.990,
2005-08,0.997,
2005-09,1.043,
2005-10,1.066,
2005-11,1.142,
2005-12,1.101,
2006-01,1.108,
2006-02,1.118,
2006-03,1.106,
2006-04,1.095,
2006-05,1.074,
2006-06,1.093,
2006-07,1.086,
2006-08,1.080,
2006-09,1.070,
2006-10,1.133,
2006-11,1.172,
2006-12,1.207,
2007-01,1.185,
2007-02,1.191,
2007-03,1.041,
2007-04,1.035,
2007-05,0.993,
2007-06,0.948,
2007-07,1.016,
2007-08,1.048,
2007-09,1.011,
2007-10,0.992,
2007-11,0.982,
2007-12,1.016,
2008-01,0.957,
2008-02,0.998,
2008-03,1.015,
2008-04,1.029,
2008-05,1.071,
2008-06,1.040,
2008-07,1.112,
2008-08,1.133,
2008-09,1.039,
2008-10,1.142,
2008-11,1.184,
2008-12,1.263,
2009-01,1.186,
2009-02,1.121,
2009-03,1.127,
2009-04,1.012,
2009-05,1.015,
2009-06,0.971,
2009-07,0.935,
2009-08,0.937,
2009-09,0.961,
2009-10,0.996,
2009-11,0.979,
2009-12,0.955,
2010-01,0.946,
2010-02,0.981,
2010-03,1.040,
2010-04,1.018,
2010-05,1.051,
2010-06,1.033,
2010-07,1.040,
2010-08,1.064,
2010-09,1.094,
2010-10,1.084,
2010-11,1.135,
2010-12,1.075,
2011-01,1.010,
2011-02,1.103,
2011-03,1.138,
2011-04,1.136,
2011-05,1.123,
2011-06,1.097,
2011-07,1.118,
2011-08,1.151,
2011-09,1.182,
2011-10,1.163,
2011-11,1.189,
2011-12,1.327,
2012-01,1.316,
2012-02,1.324,
2012-03,1.360,
2012-04,1.379,
2012-05,1.372,
2012-06,1.457,
2012-07,1.428,
2012-08,1.440,
2012-09,1.493,
2012-10,1.548,
2012-11,1.478,
2012-12,1.455,
2013-01,1.417,
2013-02,1.400,
2013-03,1.420,
2013-04,1.433,
2013-05,1.400,
2013-06,1.432,
2013-07,1.384,
2013-08,1.437,
2013-09,1.570,
2013-10,1.612,
2013-11,1.563,
2013-12,1.452,
2014-01,1.421,
2014-02,1.430,
2014-03,1.492,
2014-04,1.575,
2014-05,1.398,
2014-06,1.536,
2014-07,1.584,
2014-08,1.576,
2014-09,1.682,
2014-10,1.644,
2014-11,1.646,
2014-12,1.728,
