"",BBDA1.M.DE.N.IM.S.A.S19805.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.S19805.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / South-East Asian emerging market economies as defined in the German foreign trade statistics / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:59,
1990-07,977000,
1990-08,1299151,
1990-09,1112375,
1990-10,1326996,
1990-11,1273255,
1990-12,1045519,
1991-01,1411200,
1991-02,1322028,
1991-03,1230815,
1991-04,1297051,
1991-05,1253137,
1991-06,1160257,
1991-07,1337965,
1991-08,1549956,
1991-09,1516287,
1991-10,1629182,
1991-11,1302301,
1991-12,1234461,
1992-01,1492124,
1992-02,1388688,
1992-03,1353297,
1992-04,1262734,
1992-05,1161978,
1992-06,1199653,
1992-07,1378195,
1992-08,1175183,
1992-09,1347667,
1992-10,1373071,
1992-11,1266865,
1992-12,1441034,
1993-01,1284731,
1993-02,1399734,
1993-03,1297408,
1993-04,1356082,
1993-05,1134676,
1993-06,1291995,
1993-07,1362440,
1993-08,1421656,
1993-09,1508918,
1993-10,1518906,
1993-11,1412111,
1993-12,1387062,
1994-01,1563592,
1994-02,1497258,
1994-03,1609777,
1994-04,1287988,
1994-05,1386585,
1994-06,1321221,
1994-07,1411970,
1994-08,1518005,
1994-09,1466338,
1994-10,1470729,
1994-11,1496856,
1994-12,1685821,
1995-01,1372776,
1995-02,1373002,
1995-03,1609385,
1995-04,1242011,
1995-05,1368517,
1995-06,1517358,
1995-07,1331096,
1995-08,1568345,
1995-09,1650716,
1995-10,1683775,
1995-11,1723393,
1995-12,1706426,
1996-01,1603485,
1996-02,1522609,
1996-03,1654704,
1996-04,1418279,
1996-05,1377619,
1996-06,1434250,
1996-07,1517333,
1996-08,1447281,
1996-09,1598829,
1996-10,1651040,
1996-11,1640817,
1996-12,1399746,
1997-01,1897202,
1997-02,1535874,
1997-03,1488347,
1997-04,1756117,
1997-05,1453338,
1997-06,1568150,
1997-07,1735451,
1997-08,1663084,
1997-09,1925456,
1997-10,2018902,
1997-11,1760747,
1997-12,1697137,
1998-01,2008897,
1998-02,1766804,
1998-03,1872950,
1998-04,1958826,
1998-05,1533746,
1998-06,1690262,
1998-07,1710786,
1998-08,1644512,
1998-09,1849217,
1998-10,2008672,
1998-11,1792061,
1998-12,1795810,
1999-01,1668227,
