"",BBK01.OEAH30N,BBK01.OEAH30N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:22,
2002-01,36.270,
2002-04,39.120,
2002-07,38.442,
2002-10,43.599,
2003-01,43.361,
2003-04,42.869,
2003-07,44.320,
2003-10,47.218,
2004-01,47.324,
2004-04,43.036,
2004-07,43.924,
2004-10,41.576,
2005-01,43.858,
2005-04,46.093,
2005-07,43.599,
2005-10,48.172,
2006-01,45.763,
2006-04,47.972,
2006-07,44.913,
2006-10,50.989,
2007-01,49.486,
2007-04,49.996,
2007-07,51.755,
2007-10,50.586,
2008-01,51.610,
2008-04,50.012,
2008-07,51.643,
2008-10,57.963,
2009-01,60.937,
2009-04,66.515,
2009-07,68.500,
2009-10,74.675,
2010-01,68.254,
2010-04,79.121,
2010-07,74.341,
2010-10,71.291,
2011-01,66.879,
2011-04,73.815,
2011-07,70.841,
2011-10,81.507,
2012-01,75.039,
2012-04,79.941,
2012-07,76.926,
2012-10,79.916,
2013-01,78.084,
2013-04,80.573,
2013-07,83.057,
2013-10,84.284,
2014-01,83.521,
2014-04,79.849,
2014-07,84.882,
