"",BBDE1.M.DE.Y.AEA1.N2C140000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.N2C140000.F.C.I10.A_FLAGS
"",Orders received / At constant prices / Germany / 14 Manufacture of wearing apparel / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:03,
1991-01,236.4,
1991-02,242.8,
1991-03,273.5,
1991-04,265.8,
1991-05,257.3,
1991-06,294.8,
1991-07,227.2,
1991-08,234.9,
1991-09,257.9,
1991-10,256.9,
1991-11,280.4,
1991-12,268.3,
1992-01,235.6,
1992-02,246.7,
1992-03,236.9,
1992-04,227.8,
1992-05,228.6,
1992-06,228.5,
1992-07,211.3,
1992-08,219.4,
1992-09,235.5,
1992-10,228.2,
1992-11,222.7,
1992-12,219.1,
1993-01,221.7,
1993-02,213.8,
1993-03,222.1,
1993-04,214.9,
1993-05,211.8,
1993-06,209.4,
1993-07,219.2,
1993-08,224.2,
1993-09,216.4,
1993-10,208.1,
1993-11,207.4,
1993-12,209.5,
1994-01,211.1,
1994-02,211.7,
1994-03,199.9,
1994-04,209.0,
1994-05,212.3,
1994-06,184.2,
1994-07,197.6,
1994-08,201.8,
1994-09,194.9,
1994-10,195.2,
1994-11,187.4,
1994-12,186.1,
1995-01,200.1,
1995-02,197.6,
1995-03,192.7,
1995-04,196.0,
1995-05,204.7,
1995-06,193.6,
1995-07,189.8,
1995-08,186.2,
1995-09,188.4,
1995-10,223.3,
1995-11,178.9,
1995-12,176.4,
1996-01,195.4,
1996-02,177.1,
1996-03,191.7,
1996-04,202.0,
1996-05,188.8,
1996-06,184.0,
1996-07,177.2,
1996-08,183.6,
1996-09,191.2,
1996-10,192.4,
1996-11,191.4,
1996-12,176.9,
1997-01,185.0,
1997-02,190.5,
1997-03,197.3,
1997-04,185.5,
1997-05,170.8,
1997-06,176.7,
1997-07,182.0,
1997-08,186.8,
1997-09,187.4,
1997-10,178.1,
1997-11,179.7,
1997-12,180.7,
1998-01,171.4,
1998-02,193.6,
1998-03,185.1,
1998-04,182.2,
1998-05,177.9,
1998-06,200.5,
1998-07,198.7,
1998-08,190.7,
1998-09,183.9,
1998-10,171.0,
1998-11,179.3,
1998-12,183.4,
1999-01,181.4,
1999-02,179.1,
1999-03,179.3,
1999-04,175.5,
1999-05,172.4,
1999-06,185.3,
1999-07,185.0,
1999-08,177.3,
1999-09,175.3,
1999-10,183.7,
1999-11,182.5,
1999-12,179.8,
2000-01,165.9,
2000-02,173.6,
2000-03,168.5,
2000-04,162.9,
2000-05,180.6,
2000-06,179.3,
2000-07,165.3,
2000-08,180.2,
2000-09,179.1,
2000-10,161.4,
2000-11,165.6,
2000-12,166.5,
2001-01,178.7,
2001-02,180.6,
2001-03,175.5,
2001-04,172.4,
2001-05,185.8,
2001-06,194.2,
2001-07,181.3,
2001-08,183.8,
2001-09,175.3,
2001-10,177.1,
2001-11,196.4,
2001-12,202.9,
2002-01,154.6,
2002-02,158.8,
2002-03,159.9,
2002-04,155.2,
2002-05,147.1,
2002-06,148.1,
2002-07,145.3,
2002-08,147.6,
2002-09,151.9,
2002-10,166.1,
2002-11,142.5,
2002-12,142.2,
2003-01,159.2,
2003-02,151.0,
2003-03,142.3,
2003-04,147.1,
2003-05,139.9,
2003-06,149.6,
2003-07,133.1,
2003-08,147.4,
2003-09,144.8,
2003-10,142.2,
2003-11,143.9,
2003-12,152.1,
2004-01,139.0,
2004-02,139.2,
2004-03,144.7,
2004-04,140.3,
2004-05,129.8,
2004-06,137.3,
2004-07,137.1,
2004-08,141.4,
2004-09,135.5,
2004-10,129.4,
2004-11,125.0,
2004-12,127.4,
2005-01,149.3,
2005-02,143.6,
2005-03,152.0,
2005-04,148.0,
2005-05,136.4,
2005-06,138.8,
2005-07,143.8,
2005-08,144.8,
2005-09,132.9,
2005-10,138.8,
2005-11,141.6,
2005-12,143.4,
2006-01,132.5,
2006-02,148.2,
2006-03,146.7,
2006-04,145.7,
2006-05,157.7,
2006-06,132.5,
2006-07,142.2,
2006-08,150.4,
2006-09,141.9,
2006-10,141.8,
2006-11,139.6,
2006-12,140.7,
2007-01,144.9,
2007-02,147.9,
2007-03,143.1,
2007-04,142.6,
2007-05,146.2,
2007-06,146.2,
2007-07,153.3,
2007-08,143.3,
2007-09,138.2,
2007-10,137.3,
2007-11,133.1,
2007-12,152.5,
2008-01,146.5,
2008-02,143.8,
2008-03,124.7,
2008-04,129.3,
2008-05,144.1,
2008-06,136.9,
2008-07,145.9,
2008-08,126.5,
2008-09,126.4,
2008-10,122.5,
2008-11,159.3,
2008-12,125.7,
2009-01,105.2,
2009-02,95.6,
2009-03,95.3,
2009-04,96.3,
2009-05,95.7,
2009-06,105.4,
2009-07,109.1,
2009-08,101.4,
2009-09,99.5,
2009-10,101.5,
2009-11,102.1,
2009-12,103.1,
2010-01,98.2,
2010-02,98.2,
2010-03,103.2,
2010-04,97.5,
2010-05,96.0,
2010-06,99.6,
2010-07,99.4,
2010-08,94.6,
2010-09,96.1,
2010-10,102.1,
2010-11,114.2,
2010-12,105.2,
2011-01,104.4,
2011-02,106.9,
2011-03,100.0,
2011-04,107.2,
2011-05,107.8,
2011-06,99.4,
2011-07,108.2,
2011-08,101.6,
2011-09,95.4,
2011-10,107.1,
2011-11,104.0,
2011-12,91.8,
2012-01,97.9,
2012-02,100.5,
2012-03,93.8,
2012-04,96.3,
2012-05,107.2,
2012-06,101.6,
2012-07,94.6,
2012-08,99.4,
2012-09,96.3,
2012-10,111.1,
2012-11,92.9,
2012-12,96.0,
2013-01,96.0,
2013-02,94.0,
2013-03,87.3,
2013-04,95.5,
2013-05,95.6,
2013-06,92.6,
2013-07,99.0,
2013-08,89.8,
2013-09,95.9,
2013-10,99.4,
2013-11,93.0,
2013-12,96.9,
2014-01,102.6,
2014-02,96.8,
2014-03,96.7,
2014-04,106.5,
2014-05,101.5,
2014-06,118.9,
2014-07,92.9,
2014-08,97.1,
2014-09,101.1,
2014-10,90.6,
2014-11,92.5,
2014-12,100.0,Provisional value
