"",BBK01.OELB02Q,BBK01.OELB02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:55,
2002-01,1.590,
2002-04,1.601,
2002-07,1.573,
2002-10,1.488,
2003-01,1.468,
2003-04,1.430,
2003-07,1.347,
2003-10,1.236,
2004-01,1.221,
2004-04,1.248,
2004-07,1.216,
2004-10,1.133,
2005-01,1.168,
2005-04,1.165,
2005-07,1.167,
2005-10,1.079,
2006-01,1.139,
2006-04,1.098,
2006-07,1.028,
2006-10,0.980,
2007-01,0.982,
2007-04,1.015,
2007-07,0.994,
2007-10,0.962,
2008-01,1.030,
2008-04,1.051,
2008-07,1.019,
2008-10,0.982,
2009-01,1.023,
2009-04,1.074,
2009-07,1.021,
2009-10,0.955,
2010-01,1.033,
2010-04,1.061,
2010-07,0.989,
2010-10,0.916,
2011-01,0.973,
2011-04,1.008,
2011-07,1.001,
2011-10,0.962,
2012-01,1.009,
2012-04,1.064,
2012-07,1.032,
2012-10,1.005,
2013-01,1.058,
2013-04,1.115,
2013-07,1.066,
2013-10,1.025,
2014-01,1.077,
2014-04,1.091,
2014-07,1.075,
