"",BBK01.OEAD22T,BBK01.OEAD22T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:18,
2002-01,0.008,
2002-04,0.007,
2002-07,0.007,
2002-10,0.008,
2003-01,0.011,
2003-04,0.009,
2003-07,0.009,
2003-10,0.008,
2004-01,0.008,
2004-04,0.009,
2004-07,0.009,
2004-10,0.015,
2005-01,0.014,
2005-04,0.013,
2005-07,0.012,
2005-10,0.010,
2006-01,0.012,
2006-04,0.010,
2006-07,0.010,
2006-10,0.011,
2007-01,0.012,
2007-04,0.008,
2007-07,0.006,
2007-10,0.007,
2008-01,0.069,
2008-04,0.079,
2008-07,0.083,
2008-10,0.082,
2009-01,0.083,
2009-04,0.080,
2009-07,0.073,
2009-10,0.074,
2010-01,0.042,
2010-04,0.032,
2010-07,0.031,
2010-10,0.029,
2011-01,0.030,
2011-04,0.033,
2011-07,0.034,
2011-10,0.037,
2012-01,0.033,
2012-04,0.032,
2012-07,0.035,
2012-10,0.013,
2013-01,0.026,
2013-04,0.024,
2013-07,0.023,
2013-10,0.019,
2014-01,0.018,
2014-04,0.017,
2014-07,0.018,
