"",BBK01.CEF040,BBK01.CEF040_FLAGS
"",Total liabilities                debtor: Central bank                    creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:37,
1999-01,191.8,
1999-04,184.9,
1999-07,192.6,
1999-10,208.5,
2000-01,205.3,
2000-04,204.7,
2000-07,200.9,
2000-10,212.3,
2001-01,204.9,
2001-04,193.2,
2001-07,192.2,
2001-10,167.0,
2002-01,167.4,
2002-04,167.4,
2002-07,181.6,
2002-10,203.1,
2003-01,202.3,
2003-04,204.4,
2003-07,217.2,
2003-10,232.1,
2004-01,217.6,
2004-04,233.6,
2004-07,247.6,
2004-10,259.3,
2005-01,258.1,
2005-04,265.5,
2005-07,279.2,
2005-10,293.4,
2006-01,285.6,
2006-04,295.0,
2006-07,309.6,
2006-10,321.2,
2007-01,317.7,
2007-04,322.2,
2007-07,338.2,
2007-10,422.4,
2008-01,389.0,
2008-04,383.5,
2008-07,451.1,
2008-10,543.5,
2009-01,461.8,
2009-04,555.4,
2009-07,492.0,
2009-10,493.3,
2010-01,505.2,
2010-04,585.4,
2010-07,504.5,
2010-10,541.7,
2011-01,510.4,
2011-04,506.9,
2011-07,618.6,
2011-10,689.0,
2012-01,852.9,
2012-04,966.3,
2012-07,924.8,
2012-10,874.3,
2013-01,755.8,
2013-04,725.8,
2013-07,714.7,
2013-10,694.1,
2014-01,623.8,
2014-04,608.5,
2014-07,618.2,
