"",BBK01.OEYI07M,BBK01.OEYI07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:16,
2002-01,2.155,
2002-04,2.088,
2002-07,2.046,
2002-10,2.076,
2003-01,2.066,
2003-04,2.035,
2003-07,1.976,
2003-10,1.983,
2004-01,1.968,
2004-04,1.917,
2004-07,1.881,
2004-10,1.843,
2005-01,1.812,
2005-04,1.782,
2005-07,1.755,
2005-10,1.746,
2006-01,1.708,
2006-04,1.661,
2006-07,1.578,
2006-10,1.548,
2007-01,1.532,
2007-04,1.525,
2007-07,1.464,
2007-10,1.422,
2008-01,1.364,
2008-04,1.332,
2008-07,1.287,
2008-10,1.560,
2009-01,1.529,
2009-04,1.534,
2009-07,1.450,
2009-10,1.312,
2010-01,1.323,
2010-04,1.314,
2010-07,1.313,
2010-10,1.310,
2011-01,1.309,
2011-04,1.332,
2011-07,1.327,
2011-10,1.322,
2012-01,1.299,
2012-04,1.270,
2012-07,1.232,
2012-10,1.170,
2013-01,1.699,
2013-04,1.724,
2013-07,1.721,
2013-10,1.730,
2014-01,1.669,
2014-04,1.622,
2014-07,1.600,
