"",BBK01.OEAF02J,BBK01.OEAF02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:44,
2002-01,7.543,
2002-04,7.602,
2002-07,7.243,
2002-10,7.238,
2003-01,7.259,
2003-04,7.301,
2003-07,7.395,
2003-10,7.456,
2004-01,7.429,
2004-04,7.452,
2004-07,7.503,
2004-10,7.517,
2005-01,8.162,
2005-04,8.216,
2005-07,8.352,
2005-10,8.335,
2006-01,8.301,
2006-04,8.209,
2006-07,8.257,
2006-10,8.215,
2007-01,8.122,
2007-04,8.096,
2007-07,8.070,
2007-10,8.024,
2008-01,7.943,
2008-04,7.957,
2008-07,7.807,
2008-10,7.800,
2009-01,7.754,
2009-04,7.769,
2009-07,7.113,
2009-10,7.087,
2010-01,7.028,
2010-04,7.019,
2010-07,7.035,
2010-10,7.049,
2011-01,7.013,
2011-04,7.010,
2011-07,7.052,
2011-10,7.048,
2012-01,7.029,
2012-04,7.104,
2012-07,7.070,
2012-10,7.096,
2013-01,7.082,
2013-04,7.111,
2013-07,7.162,
2013-10,7.193,
2014-01,6.972,
2014-04,7.044,
2014-07,6.834,
