"",BBFB1.Q.N.DE.A5.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:06,
1991-01,3.042,
1991-04,-41.640,
1991-07,-9.287,
1991-10,-36.406,
1992-01,-23.795,
1992-04,-2.466,
1992-07,26.695,
1992-10,28.553,
1993-01,11.092,
1993-04,10.418,
1993-07,29.708,
1993-10,-6.173,
1994-01,-9.091,
1994-04,7.003,
1994-07,-59.122,
1994-10,29.490,
1995-01,-58.270,
1995-04,-45.958,
1995-07,6.604,
1995-10,62.446,
1996-01,-101.337,
1996-04,-67.922,
1996-07,-85.611,
1996-10,-89.670,
1997-01,-149.997,
1997-04,-154.535,
1997-07,-134.800,
1997-10,-127.431,
1998-01,-140.565,
1998-04,-167.334,
1998-07,-117.023,
1998-10,-67.037,
1999-01,-200.952,
1999-04,-128.564,
1999-07,-270.743,
1999-10,-244.340,
2000-01,-318.531,
2000-04,-324.523,
2000-07,-273.004,
2000-10,-150.693,
2001-01,-513.774,
2001-04,-344.046,
2001-07,-240.519,
2001-10,-89.877,
2002-01,-197.499,
2002-04,5.101,
2002-07,69.231,
2002-10,-28.989,
2003-01,-505.084,
2003-04,-46.711,
2003-07,-196.177,
2003-10,-254.221,
2004-01,-274.629,
2004-04,-137.082,
2004-07,-297.848,
2004-10,-214.365,
2005-01,-76.453,
2005-04,-97.389,
2005-07,-54.313,
2005-10,-6.777,
2006-01,-190.096,
2006-04,54.125,
2006-07,-23.651,
2006-10,-83.146,
2007-01,-186.214,
2007-04,-29.774,
2007-07,-22.918,
2007-10,-26.906,
2008-01,48.546,
2008-04,98.485,
2008-07,282.025,
2008-10,382.528,
2009-01,130.795,
2009-04,74.767,
2009-07,228.789,
2009-10,228.567,
2010-01,15.059,
2010-04,76.615,
2010-07,100.865,
2010-10,122.815,
2011-01,89.269,
2011-04,180.387,
2011-07,97.314,
2011-10,172.184,
2012-01,89.655,
2012-04,118.544,
2012-07,122.740,
2012-10,39.847,
2013-01,12.731,
2013-04,199.006,
2013-07,160.210,
2013-10,56.072,
2014-01,9.300,Provisional value
2014-04,154.184,Provisional value
2014-07,281.907,Provisional value
