"",BBK01.OEHJ02R,BBK01.OEHJ02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:23,
2002-01,0.321,
2002-04,0.342,
2002-07,0.372,
2002-10,0.374,
2003-01,0.318,
2003-04,0.327,
2003-07,0.382,
2003-10,0.418,
2004-01,0.338,
2004-04,0.358,
2004-07,0.380,
2004-10,0.454,
2005-01,0.366,
2005-04,0.423,
2005-07,0.466,
2005-10,0.456,
2006-01,0.394,
2006-04,0.406,
2006-07,0.443,
2006-10,0.466,
2007-01,0.424,
2007-04,0.422,
2007-07,0.453,
2007-10,0.466,
2008-01,0.437,
2008-04,0.411,
2008-07,0.469,
2008-10,0.493,
2009-01,0.449,
2009-04,0.460,
2009-07,0.532,
2009-10,0.580,
2010-01,0.515,
2010-04,0.534,
2010-07,0.565,
2010-10,0.583,
2011-01,0.522,
2011-04,0.548,
2011-07,0.594,
2011-10,0.598,
2012-01,0.569,
2012-04,0.589,
2012-07,0.620,
2012-10,0.671,
2013-01,0.596,
2013-04,0.622,
2013-07,0.694,
2013-10,0.724,
2014-01,0.684,
2014-04,0.703,
2014-07,0.839,
