"",BBK01.OEAC51J,BBK01.OEAC51J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:04,
2002-01,0.064,
2002-04,0.063,
2002-07,0.171,
2002-10,0.239,
2003-01,0.234,
2003-04,0.155,
2003-07,0.155,
2003-10,0.153,
2004-01,0.149,
2004-04,0.148,
2004-07,0.142,
2004-10,0.131,
2005-01,0.184,
2005-04,0.190,
2005-07,0.187,
2005-10,0.188,
2006-01,0.193,
2006-04,0.196,
2006-07,0.196,
2006-10,0.193,
2007-01,0.196,
2007-04,0.199,
2007-07,0.209,
2007-10,0.209,
2008-01,0.212,
2008-04,0.217,
2008-07,0.220,
2008-10,0.223,
2009-01,0.213,
2009-04,0.211,
2009-07,0.172,
2009-10,0.172,
2010-01,-0.477,
2010-04,0.190,
2010-07,0.199,
2010-10,0.202,
2011-01,0.200,
2011-04,0.141,
2011-07,0.204,
2011-10,0.208,
2012-01,0.204,
2012-04,0.208,
2012-07,0.209,
2012-10,0.211,
2013-01,0.220,
2013-04,0.222,
2013-07,0.225,
2013-10,0.231,
2014-01,0.233,
2014-04,0.234,
2014-07,0.237,
