"",BBFB1.Q.N.DE.IE.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:40,
1991-01,117.176,
1991-04,54.788,
1991-07,114.137,
1991-10,-449.301,
1992-01,-68.792,
1992-04,348.701,
1992-07,-265.569,
1992-10,557.558,
1993-01,794.438,
1993-04,69.615,
1993-07,140.253,
1993-10,454.462,
1994-01,261.844,
1994-04,596.497,
1994-07,443.380,
1994-10,368.315,
1995-01,1186.891,
1995-04,699.377,
1995-07,576.808,
1995-10,2200.809,
1996-01,933.737,
1996-04,75.851,
1996-07,364.211,
1996-10,195.208,
1997-01,381.047,
1997-04,1194.694,
1997-07,479.732,
1997-10,4200.440,
1998-01,-1537.703,
1998-04,2322.935,
1998-07,1787.467,
1998-10,-2567.041,
1999-01,1970.396,
1999-04,1291.528,
1999-07,-2047.985,
1999-10,67.399,
2000-01,1259.369,
2000-04,2360.231,
2000-07,337.819,
2000-10,-2900.642,
2001-01,457.783,
2001-04,2074.801,
2001-07,1695.755,
2001-10,469.955,
2002-01,767.913,
2002-04,2237.230,
2002-07,3592.805,
2002-10,1374.234,
2003-01,-883.489,
2003-04,-31.213,
2003-07,5333.634,
2003-10,-593.238,
2004-01,-1884.658,
2004-04,1936.059,
2004-07,9419.704,
2004-10,5225.039,
2005-01,3520.961,
2005-04,8497.138,
2005-07,-545.619,
2005-10,2423.969,
2006-01,-5312.994,
2006-04,4816.827,
2006-07,-3096.118,
2006-10,4393.585,
2007-01,1303.625,
2007-04,-77.523,
2007-07,12724.595,
2007-10,2616.543,
2008-01,-1825.313,
2008-04,8098.917,
2008-07,2056.878,
2008-10,53900.900,
2009-01,4896.244,
2009-04,-3766.100,
2009-07,-178.716,
2009-10,366.665,
2010-01,1860.854,
2010-04,11088.923,
2010-07,129.648,
2010-10,-82014.784,
2011-01,-2379.947,
2011-04,-1628.858,
2011-07,2280.623,
2011-10,7642.986,
2012-01,5345.735,
2012-04,1338.894,
2012-07,-2641.606,
2012-10,515.972,
2013-01,-3716.148,
2013-04,278.675,
2013-07,-15104.437,
2013-10,-1436.512,
2014-01,-3965.995,Provisional value
2014-04,-559.307,Provisional value
2014-07,-1413.969,Provisional value
2014-10,-3415.472,Provisional value
