"",BBK01.OEAD09G,BBK01.OEAD09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:29,
2002-01,1.292,
2002-04,1.293,
2002-07,1.289,
2002-10,1.242,
2003-01,1.176,
2003-04,1.196,
2003-07,1.168,
2003-10,1.116,
2004-01,1.049,
2004-04,1.069,
2004-07,1.040,
2004-10,0.913,
2005-01,0.871,
2005-04,0.947,
2005-07,0.877,
2005-10,0.797,
2006-01,0.790,
2006-04,0.886,
2006-07,0.842,
2006-10,0.714,
2007-01,0.677,
2007-04,0.751,
2007-07,0.764,
2007-10,0.771,
2008-01,0.736,
2008-04,0.774,
2008-07,0.805,
2008-10,0.962,
2009-01,1.065,
2009-04,0.990,
2009-07,0.954,
2009-10,0.901,
2010-01,0.790,
2010-04,0.732,
2010-07,0.727,
2010-10,0.700,
2011-01,0.759,
2011-04,0.948,
2011-07,0.772,
2011-10,0.739,
2012-01,0.773,
2012-04,0.765,
2012-07,0.709,
2012-10,0.686,
2013-01,0.757,
2013-04,0.695,
2013-07,0.643,
2013-10,0.586,
2014-01,0.611,
2014-04,0.645,
2014-07,0.618,
