"",BBK01.OELI07L,BBK01.OELI07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:06,
2002-01,16.533,
2002-04,16.427,
2002-07,16.384,
2002-10,16.775,
2003-01,16.836,
2003-04,16.769,
2003-07,16.726,
2003-10,17.205,
2004-01,17.370,
2004-04,17.450,
2004-07,17.424,
2004-10,17.747,
2005-01,17.747,
2005-04,17.682,
2005-07,17.562,
2005-10,17.664,
2006-01,17.599,
2006-04,17.682,
2006-07,17.536,
2006-10,17.488,
2007-01,16.958,
2007-04,16.544,
2007-07,16.054,
2007-10,15.555,
2008-01,14.729,
2008-04,14.003,
2008-07,13.306,
2008-10,13.234,
2009-01,13.656,
2009-04,14.176,
2009-07,14.631,
2009-10,15.494,
2010-01,15.950,
2010-04,15.975,
2010-07,15.965,
2010-10,16.088,
2011-01,16.110,
2011-04,16.194,
2011-07,16.048,
2011-10,15.982,
2012-01,15.799,
2012-04,15.592,
2012-07,15.362,
2012-10,15.321,
2013-01,15.228,
2013-04,15.137,
2013-07,15.051,
2013-10,15.097,
2014-01,14.896,
2014-04,14.663,
2014-07,14.405,
