"",BBK01.OEXB10H,BBK01.OEXB10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:03,
2002-01,5.530,
2002-04,5.250,
2002-07,4.998,
2002-10,4.858,
2003-01,4.719,
2003-04,5.101,
2003-07,4.933,
2003-10,4.575,
2004-01,4.332,
2004-04,4.321,
2004-07,4.295,
2004-10,3.931,
2005-01,4.121,
2005-04,3.605,
2005-07,3.658,
2005-10,3.776,
2006-01,3.941,
2006-04,4.162,
2006-07,4.133,
2006-10,4.179,
2007-01,4.327,
2007-04,4.430,
2007-07,4.187,
2007-10,4.717,
2008-01,4.460,
2008-04,4.370,
2008-07,4.426,
2008-10,3.767,
2009-01,3.873,
2009-04,3.903,
2009-07,4.157,
2009-10,3.515,
2010-01,3.698,
2010-04,3.640,
2010-07,3.587,
2010-10,3.341,
2011-01,3.596,
2011-04,3.752,
2011-07,3.739,
2011-10,3.749,
2012-01,3.991,
2012-04,3.856,
2012-07,3.648,
2012-10,3.896,
2013-01,4.122,
2013-04,4.194,
2013-07,4.309,
2013-10,4.529,
2014-01,4.882,
2014-04,4.509,
2014-07,4.669,
