"",BBK01.OELJ01O,BBK01.OELJ01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:18,
2002-01,2.443,
2002-04,2.460,
2002-07,2.547,
2002-10,2.619,
2003-01,2.555,
2003-04,2.618,
2003-07,2.753,
2003-10,2.759,
2004-01,2.726,
2004-04,2.733,
2004-07,2.795,
2004-10,2.922,
2005-01,2.933,
2005-04,3.009,
2005-07,3.025,
2005-10,3.129,
2006-01,3.032,
2006-04,2.994,
2006-07,3.189,
2006-10,3.222,
2007-01,3.213,
2007-04,3.227,
2007-07,3.326,
2007-10,3.372,
2008-01,3.249,
2008-04,3.309,
2008-07,3.493,
2008-10,3.482,
2009-01,3.374,
2009-04,3.552,
2009-07,3.774,
2009-10,4.083,
2010-01,3.877,
2010-04,3.970,
2010-07,4.044,
2010-10,4.050,
2011-01,3.982,
2011-04,4.026,
2011-07,4.201,
2011-10,4.149,
2012-01,4.058,
2012-04,4.093,
2012-07,4.384,
2012-10,4.300,
2013-01,4.317,
2013-04,4.295,
2013-07,4.564,
2013-10,4.691,
2014-01,4.715,
2014-04,4.768,
2014-07,4.977,
