"",BBK01.OEAD37H,BBK01.OEAD37H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:57,
2002-01,2.023,
2002-04,2.021,
2002-07,1.998,
2002-10,1.947,
2003-01,1.932,
2003-04,1.955,
2003-07,1.946,
2003-10,1.901,
2004-01,1.852,
2004-04,1.805,
2004-07,1.759,
2004-10,1.691,
2005-01,1.635,
2005-04,1.664,
2005-07,1.602,
2005-10,1.562,
2006-01,1.574,
2006-04,1.574,
2006-07,1.470,
2006-10,1.465,
2007-01,1.450,
2007-04,1.463,
2007-07,1.448,
2007-10,1.427,
2008-01,1.393,
2008-04,1.425,
2008-07,1.431,
2008-10,1.394,
2009-01,1.369,
2009-04,1.149,
2009-07,1.145,
2009-10,1.114,
2010-01,1.034,
2010-04,1.117,
2010-07,1.146,
2010-10,1.135,
2011-01,1.104,
2011-04,1.106,
2011-07,1.105,
2011-10,1.285,
2012-01,1.289,
2012-04,1.284,
2012-07,1.130,
2012-10,1.142,
2013-01,1.152,
2013-04,1.123,
2013-07,1.094,
2013-10,1.096,
2014-01,1.045,
2014-04,1.054,
2014-07,1.035,
